real_name,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14
0,-0.168401,0.59977,0.90239,0.62142,-0.600762,-0.120671,0.128439,0.42654,-0.393405,-0.335346,-1.4519,-1.01742,-0.243593,0.536015
1,-0.149762,1.62406,0.0284561,-0.357414,-0.117267,-0.208657,0.302479,0.461849,-0.0691548,-0.359175,-0.313014,-0.935687,0.478694,-0.139263
2,-0.174846,0.432546,1.51548,0.599139,-1.03959,0.295385,0.247383,-0.557135,-0.167744,-0.614088,-1.06747,0.143303,-2.00212,-0.0869238
3,-0.211736,0.964177,0.325754,0.901428,-0.765017,-0.507506,-0.172659,0.516219,0.0676261,-0.27995,0.471819,-1.08452,0.693133,1.61947
4,-0.179438,0.778846,1.2736,-0.224065,-0.710481,-0.126582,0.538547,-0.0322253,0.00774456,-0.186697,-0.700715,-0.942884,-0.507734,0.262024
5,-0.208099,0.90282,1.09482,0.426198,-1.02384,-0.275438,0.625873,0.242536,-0.129217,-0.82934,-0.936911,-0.788559,0.238773,0.916803
6,-0.142283,1.00599,0.435715,-0.00895947,-0.977431,0.673256,-0.288232,0.565179,0.393419,-0.493119,-0.868894,-0.0761071,-0.509168,0.0976187
7,-0.143522,1.41228,0.696186,0.571954,-0.329363,0.0538238,-0.420118,0.204458,0.16109,-0.244076,-0.584835,-1.79177,-1.32653,0.353934
8,-0.1394,1.50151,-0.117571,-0.385993,-0.389755,0.0133869,-0.808785,1.51716,0.251814,-0.291613,-0.0411369,-1.48602,-0.661443,0.0492
9,-0.121529,0.390555,0.588292,0.84506,-0.412445,0.510169,-0.162475,-0.152864,0.41242,-0.295178,-0.944568,-0.828494,1.0566,0.844723
10,-0.199496,1.06128,0.433614,0.559649,-0.3485,-0.712779,0.39767,0.208208,0.142869,-0.235592,-0.663929,-0.412314,0.102328,0.607973
11,-0.216559,0.865463,-0.24406,1.09907,-0.244138,-0.562317,0.758083,0.874297,0.323198,0.438171,0.154762,-1.69953,-0.0528625,0.144704
12,-0.1617,-0.919866,0.986971,2.77369,-0.560613,0.184166,0.460248,-0.00243412,0.504452,0.2164,-0.732318,-1.10647,0.177952,1.64864
13,-0.155519,1.03968,0.269822,1.01455,-0.255217,-0.0246516,-0.112804,0.963004,0.0156973,-0.175618,-0.325273,0.236068,0.785903,0.828547
14,-0.192599,1.01219,0.621518,0.207294,-0.70347,-0.28186,-0.637295,0.580829,-0.0800557,-0.330898,-0.466189,-1.214,-0.331591,-1.27119
15,-0.12746,0.471946,0.790544,0.567092,-0.698055,0.494123,-0.268698,-0.037714,0.113646,-0.556158,-1.05645,-1.02698,-1.06884,0.750632
16,-0.120388,0.193403,1.25273,0.665441,-0.521336,-0.301202,-0.173079,-0.351491,0.811618,0.477155,-1.38401,-1.37523,0.175047,0.224578
17,-0.122732,-0.0897806,-0.261801,2.17513,-0.549433,-0.126549,-0.544147,0.483347,0.478168,-0.139131,-0.152362,-1.17646,-0.616254,-1.89689
18,-0.158997,1.43857,-0.322992,0.225629,-0.454219,0.101983,0.284808,1.20842,0.231354,0.0598014,-0.227283,-1.12261,-0.0105223,-0.467678
19,-0.169498,1.25984,0.674038,0.136205,-0.788288,0.523667,-0.260098,0.314553,-0.964934,-0.127722,-1.28024,-0.0356986,-0.400256,1.7976
20,-0.202944,0.830068,1.02672,0.441011,-0.874052,0.0169393,0.141083,0.21953,-0.779311,-0.536847,-0.827438,-1.22011,0.0557515,0.249819
21,-0.144307,1.68865,0.0473277,-0.652087,-0.377635,0.0510485,-0.301105,0.928367,0.445792,-0.759133,-0.56596,-0.51976,-0.517129,0.393437
22,-0.214433,-0.128936,1.58898,1.69775,-1.84088,0.454372,-0.610659,-0.0627198,-0.56209,-1.17666,-1.5777,-1.1973,0.0341636,0.103538
