ppname	easting	northing	zone	kx1	kx2	kx3	rch
pp070	913.23200	1218.17000	1	5.633E+00	5.797E-02	5.054E-01	3.085E-04
pp071	1539.90700	1103.06600	1	2.654E+00	5.516E-02	6.655E-01	2.413E-04
pp072	1028.33500	1729.74100	1	3.563E+00	1.340E-01	1.721E+00	4.304E-04
pp073	2831.62400	1013.54100	1	1.022E+01	2.491E-02	3.381E+00	1.182E-04
pp074	2869.99200	489.18000	1	8.131E+00	4.876E-02	2.288E+00	1.490E-04
pp075	2946.72700	1896.00100	1	3.109E+00	6.234E-02	4.334E+00	1.874E-04
pp076	2946.72700	1678.58400	1	8.757E+00	3.698E-02	3.894E+00	1.453E-04
pp077	388.87100	335.70900	1	2.938E+00	1.243E-02	9.029E-01	1.971E-04
pp078	1284.12100	284.55200	1	1.655E+00	1.988E-01	9.635E-01	1.413E-04
pp079	2383.99900	335.70900	1	1.015E+01	7.631E-02	1.507E+00	1.834E-04
pp080	4097.76300	386.86600	1	1.379E+01	3.054E-01	2.221E+00	2.214E-04
pp081	5172.06200	310.13100	1	1.680E+01	7.103E-02	2.708E+00	1.962E-04
pp082	6911.40500	514.75900	1	7.935E+00	2.883E-02	1.575E+00	3.726E-04
pp083	8215.91100	3763.23700	1	6.372E+00	1.082E-01	1.231E+01	2.084E-04
pp084	7960.12600	2535.46600	1	3.075E+00	3.322E-02	1.812E+01	1.811E-04
pp085	7550.86900	1384.43000	1	2.374E+01	1.180E-01	1.192E+01	3.742E-04
pp086	5683.63400	2126.20900	1	2.349E+01	4.392E-02	9.798E+00	1.313E-04
pp087	5939.41900	3302.82200	1	8.533E+00	3.037E-01	2.782E+01	2.009E-04
pp088	7218.34700	3021.45800	1	7.090E+00	7.559E-02	2.394E+01	1.532E-04
pp089	9290.21100	8392.95600	1	8.698E-01	5.136E-02	4.130E+00	3.183E-04
pp090	9290.21100	7600.02100	1	7.829E-01	6.279E-02	3.250E+00	2.546E-04
pp091	9060.00400	6500.14300	1	1.344E+00	1.700E-02	1.261E+00	2.676E-04
pp092	8753.06100	5809.52200	1	3.462E+00	1.589E-01	4.520E+00	2.948E-04
pp093	286.55700	9723.04200	1	1.641E+00	1.336E-01	2.079E+00	4.977E-04
pp094	2639.78500	9671.88500	1	5.437E+00	7.462E-02	4.520E+00	2.574E-04
pp095	4276.81300	9646.30600	1	9.189E+00	2.901E-01	3.614E+00	2.500E-04
pp096	7064.87600	9825.35600	1	5.989E+00	1.809E-01	8.716E+00	2.334E-04
pp097	7781.07600	8827.79200	1	1.478E+00	3.738E-01	5.318E+00	2.872E-04
pp098	7064.87600	8444.11400	1	8.204E+00	1.974E-01	1.081E+01	2.153E-04
pp099	7013.71900	5962.99300	1	8.616E+00	5.485E-02	2.821E+00	1.637E-04
pp100	7320.66200	5758.36400	1	7.838E+00	2.429E-02	2.971E+00	1.262E-04
pp101	6502.14800	7088.45000	1	6.409E+00	1.140E-01	2.533E+00	2.726E-04
pp102	2946.72700	4249.22900	1	7.572E-01	7.953E-02	1.217E+00	4.253E-04
pp103	3560.61300	3047.03700	1	1.433E+00	5.968E-01	1.945E+00	3.044E-04
pp104	3381.56300	3507.45100	1	1.817E+00	1.980E-01	5.234E-01	3.159E-04
pp105	1463.17100	2381.99400	1	1.323E+00	5.186E-01	5.459E-01	2.984E-04
pp106	4021.02700	2356.41600	1	6.151E+00	2.381E-01	1.293E+00	2.272E-04
pp107	4660.49100	4198.07200	1	1.959E+01	3.212E-02	1.820E+00	4.483E-04
pp108	5530.16200	4479.43600	4	2.708E+01	1.814E-02	1.489E+01	4.039E-04
pp109	6655.61900	4786.37900	4	5.851E+00	2.800E-01	1.044E+00	2.545E-04
pp110	1284.12100	5937.41400	1	2.055E+00	2.120E-01	2.627E-01	2.576E-04
pp111	2281.68500	5681.62900	4	7.119E-01	3.643E-02	1.931E+00	1.552E-04
pp112	3151.35600	5400.26500	4	6.004E-01	3.572E-01	3.298E+00	4.254E-04
pp113	3995.44900	5349.10700	4	8.477E-01	1.557E-02	5.859E+00	1.225E-04
pp114	4941.85500	5272.37200	4	1.574E+00	5.655E-02	6.783E+00	3.686E-04
pp115	6016.15500	5246.79300	4	1.321E+01	1.640E-01	2.351E+00	7.524E-04
pp116	5146.48400	4505.01500	4	2.357E+01	7.132E-02	1.816E+01	3.533E-04
pp117	5376.69100	4888.69300	4	3.872E+00	5.970E-01	1.920E+01	5.877E-04
pp118	5913.84100	4505.01500	4	1.510E+01	2.540E-01	1.576E+00	7.750E-04
pp119	6118.46900	4888.69300	4	2.232E+01	3.516E-02	2.505E+00	6.607E-04
pp120	6425.41200	4991.00800	4	2.557E+01	1.558E-01	1.081E+00	4.145E-04
pp121	2869.99200	4607.32900	4	3.545E+00	2.647E-01	4.990E+00	4.325E-04
pp122	1667.79900	4351.54300	4	2.960E+00	4.849E-02	1.881E+00	2.500E-04
pp123	977.17800	4249.22900	4	1.618E+00	2.038E-01	3.846E+00	2.792E-04
