pp001	1319.291	8763.846	1	2.43E+00	4.79E-01	5.31E+00	5.33E-04
pp002	2061.07	8712.688	1	3.73E+00	3.42E-02	1.40E+00	1.95E-04
pp003	1677.391	9147.524	1	3.36E+00	1.34E-01	3.52E+00	3.01E-04
pp004	1677.391	8226.696	1	2.66E+00	7.47E-02	4.45E+00	2.82E-04
pp005	1319.291	3136.562	1	1.39E+00	1.01E-01	1.75E+00	4.48E-04
pp006	603.092	3724.869	1	1.75E+00	1.08E+00	4.82E+00	3.51E-04
pp007	603.092	3059.826	1	3.86E+00	7.06E-02	4.04E+00	3.90E-04
pp008	1268.134	3750.447	1	9.49E-01	7.12E-01	3.02E+00	4.01E-04
pp009	1779.706	3750.447	1	3.08E-01	1.95E-01	1.72E+00	2.68E-04
pp010	2316.855	3520.24	1	3.52E-01	1.41E-02	3.76E+00	4.47E-04
pp011	2572.641	3929.497	1	6.26E-01	1.02E-01	1.44E+00	3.12E-04
pp012	2035.491	4185.283	1	1.11E-01	1.19E-01	4.04E+00	2.41E-04
pp013	3825.991	4313.176	1	3.50E+00	2.19E-02	8.52E-01	3.15E-04
pp014	3595.784	4082.969	1	4.50E+00	1.49E-02	1.37E+00	4.28E-04
pp015	4158.512	4082.969	1	5.37E+00	1.85E-02	9.54E-01	2.70E-04
pp016	3928.305	3776.026	1	1.34E+00	2.32E-01	8.46E-01	3.78E-04
pp017	3928.305	3110.983	1	3.52E+00	6.26E-01	1.75E+00	2.71E-04
pp018	4772.397	3008.669	1	1.91E+01	1.23E-02	2.19E+00	2.13E-04
pp019	4158.512	3366.769	1	6.10E+00	2.78E-01	1.34E+00	2.55E-04
pp020	4337.562	2676.148	1	6.65E+00	4.53E-02	1.01E+00	2.84E-04
pp021	5974.59	9019.631	1	4.29E+00	2.89E-02	1.25E+01	3.10E-04
pp022	5590.911	9607.938	1	3.85E+00	1.42E-01	2.97E+01	3.44E-04
pp023	6383.847	8456.903	1	1.42E+01	1.53E-01	1.53E+01	3.79E-04
pp024	6562.897	8994.053	1	5.22E+00	2.37E-01	8.20E+00	2.37E-04
pp025	6204.797	7843.017	1	6.16E+00	3.14E-01	6.80E+00	3.58E-04
pp026	6716.368	7919.753	1	5.65E+00	1.72E-01	1.12E+01	2.96E-04
pp027	5846.697	8354.589	1	1.24E+01	1.15E-01	2.42E+00	4.09E-04
pp028	8711.496	8789.424	1	7.62E-01	2.68E-01	6.00E+00	3.89E-04
pp029	8327.818	8188.328	1	1.87E+00	2.65E+00	7.29E+00	3.63E-04
pp030	7163.993	7344.235	1	4.69E+00	1.03E+00	5.90E+00	1.62E-04
pp031	7586.039	7408.182	1	2.52E+00	8.12E-01	1.11E+01	1.53E-04
pp032	8020.875	7139.607	1	2.47E+00	1.41E+00	2.56E+00	1.64E-04
pp033	7624.407	6691.982	1	6.52E+00	2.13E-01	7.43E+00	1.05E-04
pp034	8148.768	6743.139	1	5.12E+00	7.22E-02	1.48E+00	1.36E-04
pp035	8481.289	7472.128	1	1.76E+00	1.85E-01	6.17E+00	2.39E-04
pp036	7074.468	6628.036	1	8.23E+00	6.24E-02	5.52E+00	1.72E-04
pp037	7586.039	6244.357	1	3.10E+00	5.73E-02	1.24E+01	1.10E-04
pp038	8289.45	6078.096	1	3.81E+00	1.80E-02	5.42E+00	2.26E-04
pp039	7790.668	7868.596	1	1.68E+00	4.66E-01	8.43E+00	2.25E-04
pp040	8903.335	7958.121	1	4.14E-01	1.75E-01	4.88E+00	3.15E-04
pp041	8864.967	9812.567	1	2.39E+00	2.18E-02	9.28E+00	4.50E-04
pp042	9261.435	9467.256	1	1.57E+00	2.91E-02	7.32E+00	4.35E-04
pp043	8353.396	9480.045	1	7.97E-01	2.01E-01	1.45E+01	3.22E-04
pp044	9146.332	8840.581	1	7.45E-01	1.22E-01	4.82E+00	3.62E-04
pp045	7681.959	5489.79	4	2.07E+01	9.88E-02	4.99E+00	3.10E-04
pp046	7234.334	4140.52	1	2.40E+00	1.21E-01	1.98E+01	1.48E-04
pp047	8206.319	4984.613	4	1.66E+01	3.14E-01	3.04E+00	2.33E-04
pp048	8462.105	5470.606	4	1.15E+01	6.70E-02	6.99E+00	2.54E-04
pp049	7963.323	5585.709	1	4.37E+00	8.79E-03	3.52E+00	1.31E-04
pp050	7726.721	5125.295	4	2.64E+01	8.80E-02	4.52E+00	3.17E-04
pp051	7061.679	5208.425	4	1.09E+01	6.27E-02	7.08E-01	1.77E-04
pp052	7061.679	4824.747	4	1.27E+01	6.17E-02	9.73E-01	2.04E-04
pp053	6588.475	1710.557	1	1.73E+01	1.38E-01	4.88E+00	3.42E-04
pp054	7074.468	1697.768	1	1.80E+01	1.80E-01	9.94E+00	3.33E-04
pp055	6850.656	1972.737	1	1.16E+01	3.80E-01	1.31E+01	2.90E-04
pp056	6844.261	1429.193	1	1.18E+01	5.62E-02	7.85E+00	4.31E-04
pp057	2457.537	2893.565	1	3.92E-01	9.07E-02	1.98E+00	3.17E-04
pp058	2802.848	2778.462	1	1.32E+00	1.90E-01	4.90E+00	3.55E-04
pp059	2917.952	3417.926	1	6.70E-01	6.28E-02	1.32E+00	3.53E-04
pp060	2035.491	2241.312	1	2.05E+00	4.36E-01	1.23E+00	3.35E-04
pp061	2559.852	2484.308	1	1.18E+00	3.59E-01	3.73E+00	2.55E-04
pp062	3154.553	2260.496	1	1.58E+00	1.50E-01	2.67E+00	2.61E-04
pp063	3458.299	1883.212	1	8.63E+00	3.17E-02	2.42E+00	2.34E-04
pp064	4238.445	1653.005	1	1.40E+01	1.05E-01	1.63E+00	2.07E-04
pp065	4251.234	1256.537	1	1.99E+01	1.54E-02	3.40E+00	2.61E-04
pp066	4558.177	1358.852	1	1.36E+01	5.54E-02	1.96E+00	1.38E-04
pp067	3381.563	1435.587	1	1.51E+01	3.40E-02	5.89E+00	2.23E-04
pp068	2217.738	1525.112	1	2.20E+00	2.66E-02	1.21E+00	2.63E-04
pp069	1552.696	1665.794	1	1.33E+00	3.71E-02	1.50E+00	3.09E-04
pp070	913.232	1218.17	1	5.63E+00	5.80E-02	5.05E-01	3.08E-04
pp071	1539.907	1103.066	1	2.65E+00	5.52E-02	6.65E-01	2.41E-04
pp072	1028.335	1729.741	1	3.56E+00	1.34E-01	1.72E+00	4.30E-04
pp073	2831.624	1013.541	1	1.02E+01	2.49E-02	3.38E+00	1.18E-04
pp074	2869.992	489.18	1	8.13E+00	4.88E-02	2.29E+00	1.49E-04
pp075	2946.727	1896.001	1	3.11E+00	6.23E-02	4.33E+00	1.87E-04
pp076	2946.727	1678.584	1	8.76E+00	3.70E-02	3.89E+00	1.45E-04
pp077	388.871	335.709	1	2.94E+00	1.24E-02	9.03E-01	1.97E-04
pp078	1284.121	284.552	1	1.66E+00	1.99E-01	9.63E-01	1.41E-04
pp079	2383.999	335.709	1	1.02E+01	7.63E-02	1.51E+00	1.83E-04
pp080	4097.763	386.866	1	1.38E+01	3.05E-01	2.22E+00	2.21E-04
pp081	5172.062	310.131	1	1.68E+01	7.10E-02	2.71E+00	1.96E-04
pp082	6911.405	514.759	1	7.94E+00	2.88E-02	1.57E+00	3.73E-04
pp083	8215.911	3763.237	1	6.37E+00	1.08E-01	1.23E+01	2.08E-04
pp084	7960.126	2535.466	1	3.07E+00	3.32E-02	1.81E+01	1.81E-04
pp085	7550.869	1384.43	1	2.37E+01	1.18E-01	1.19E+01	3.74E-04
pp086	5683.634	2126.209	1	2.35E+01	4.39E-02	9.80E+00	1.31E-04
pp087	5939.419	3302.822	1	8.53E+00	3.04E-01	2.78E+01	2.01E-04
pp088	7218.347	3021.458	1	7.09E+00	7.56E-02	2.39E+01	1.53E-04
pp089	9290.211	8392.956	1	8.70E-01	5.14E-02	4.13E+00	3.18E-04
pp090	9290.211	7600.021	1	7.83E-01	6.28E-02	3.25E+00	2.55E-04
pp091	9060.004	6500.143	1	1.34E+00	1.70E-02	1.26E+00	2.68E-04
pp092	8753.061	5809.522	1	3.46E+00	1.59E-01	4.52E+00	2.95E-04
pp093	286.557	9723.042	1	1.64E+00	1.34E-01	2.08E+00	4.98E-04
pp094	2639.785	9671.885	1	5.44E+00	7.46E-02	4.52E+00	2.57E-04
pp095	4276.813	9646.306	1	9.19E+00	2.90E-01	3.61E+00	2.50E-04
pp096	7064.876	9825.356	1	5.99E+00	1.81E-01	8.72E+00	2.33E-04
pp097	7781.076	8827.792	1	1.48E+00	3.74E-01	5.32E+00	2.87E-04
pp098	7064.876	8444.114	1	8.20E+00	1.97E-01	1.08E+01	2.15E-04
pp099	7013.719	5962.993	1	8.62E+00	5.49E-02	2.82E+00	1.64E-04
pp100	7320.662	5758.364	1	7.84E+00	2.43E-02	2.97E+00	1.26E-04
pp101	6502.148	7088.45	1	6.41E+00	1.14E-01	2.53E+00	2.73E-04
pp102	2946.727	4249.229	1	7.57E-01	7.95E-02	1.22E+00	4.25E-04
pp103	3560.613	3047.037	1	1.43E+00	5.97E-01	1.94E+00	3.04E-04
pp104	3381.563	3507.451	1	1.82E+00	1.98E-01	5.23E-01	3.16E-04
pp105	1463.171	2381.994	1	1.32E+00	5.19E-01	5.46E-01	2.98E-04
pp106	4021.027	2356.416	1	6.15E+00	2.38E-01	1.29E+00	2.27E-04
pp107	4660.491	4198.072	1	1.96E+01	3.21E-02	1.82E+00	4.48E-04
pp108	5530.162	4479.436	4	2.71E+01	1.81E-02	1.49E+01	4.04E-04
pp109	6655.619	4786.379	4	5.85E+00	2.80E-01	1.04E+00	2.54E-04
pp110	1284.121	5937.414	1	2.06E+00	2.12E-01	2.63E-01	2.58E-04
pp111	2281.685	5681.629	4	7.12E-01	3.64E-02	1.93E+00	1.55E-04
pp112	3151.356	5400.265	4	6.00E-01	3.57E-01	3.30E+00	4.25E-04
pp113	3995.449	5349.107	4	8.48E-01	1.56E-02	5.86E+00	1.22E-04
pp114	4941.855	5272.372	4	1.57E+00	5.65E-02	6.78E+00	3.69E-04
pp115	6016.155	5246.793	4	1.32E+01	1.64E-01	2.35E+00	7.52E-04
pp116	5146.484	4505.015	4	2.36E+01	7.13E-02	1.82E+01	3.53E-04
pp117	5376.691	4888.693	4	3.87E+00	5.97E-01	1.92E+01	5.88E-04
pp118	5913.841	4505.015	4	1.51E+01	2.54E-01	1.58E+00	7.75E-04
pp119	6118.469	4888.693	4	2.23E+01	3.52E-02	2.50E+00	6.61E-04
pp120	6425.412	4991.008	4	2.56E+01	1.56E-01	1.08E+00	4.15E-04
pp121	2869.992	4607.329	4	3.54E+00	2.65E-01	4.99E+00	4.32E-04
pp122	1667.799	4351.543	4	2.96E+00	4.85E-02	1.88E+00	2.50E-04
pp123	977.178	4249.229	4	1.62E+00	2.04E-01	3.85E+00	2.79E-04
pp124	798.128	6116.464	4	2.84E+00	6.82E-03	1.30E+01	3.65E-04
pp125	5542.952	5899.047	4	4.71E+00	1.18E-02	3.69E+00	2.13E-04
pp126	5542.952	5361.897	4	4.85E+00	2.60E-01	1.04E+01	5.66E-04
pp127	5696.423	3891.129	4	3.12E+00	2.11E-01	1.05E+00	2.45E-04
pp128	6297.519	4351.543	4	1.55E+00	9.51E-02	4.93E-01	6.94E-04
pp129	4174.498	5029.375	4	1.20E+00	2.66E-02	9.08E+00	1.49E-04
pp130	4404.706	5630.472	4	6.20E-01	5.52E-02	4.09E+00	2.35E-04
pp131	5184.852	5477	4	1.96E+00	5.67E-01	2.82E+00	2.45E-04
pp132	5056.959	4927.061	4	6.56E+00	5.61E-02	4.54E+00	4.47E-04
pp133	4698.859	4466.647	4	8.46E+00	1.37E-01	1.09E+00	3.66E-04
pp134	3688.506	4543.383	4	6.06E-01	1.83E-02	3.37E+00	1.71E-04
pp135	7819.444	4786.379	4	2.25E+01	8.85E-02	1.85E+00	2.98E-04
pp136	8510.065	4671.276	4	3.10E+00	5.71E-01	1.79E+00	2.13E-04
pp137	8650.747	5170.057	4	1.04E+01	1.02E-01	6.71E+00	3.01E-04
pp138	8676.326	4274.808	4	1.95E+00	5.59E-02	1.12E+00	2.53E-04
pp139	6514.937	5349.107	4	3.17E+01	2.09E-01	1.87E+00	2.47E-04
pp140	3790.82	5643.261	4	2.77E-01	2.73E-01	8.76E-01	2.91E-04
pp141	4136.131	6135.648	4	4.82E-01	7.62E-02	1.71E+00	2.12E-04
pp142	4948.25	6359.461	4	3.41E+00	3.71E-02	2.64E+00	3.14E-04
pp143	337.714	8974.869	1	2.82E+00	3.58E-01	5.03E+00	4.54E-04
pp144	286.557	8002.883	1	1.67E+00	7.75E-01	5.30E+00	2.69E-04
pp145	286.557	6903.005	1	7.84E+00	1.18E-01	1.09E+01	1.98E-04
