1	0.002
2	0.0019
3	0.0019
4	0.002
5	0.0008
6	0.001
7	0.0018
8	0.0018
9	0.0021
10	0.003
11	0.0022
12	0.0021
13	0.0009
14	0.0023
15	0.0022
17	0.0025
18	0.003
19	0.0038
20	0.0026
21	0.0017
22	0.0022
23	0.0031
24	0.0037
25	0.0027
26	0.0037
28	0.0037
29	0.0035
30	0.0025
31	0.0037
33	0.0032
34	0.0037
35	0.0027
36	0.0031
37	0.0023
38	0.0024
39	0.0031
40	0.0041
41	0.004
43	0.0047
44	0.0023
45	0.0028
48	0.0032
49	0.003
50	0.0029
51	0.0024
52	0.0022
53	0.0038
54	0.0034
55	0.0039
56	0.0035
57	0.0032
58	0.0028
59	0.0032
60	0.0034
61	0.0039
62	0.0041
63	0.0041
64	0.0036
65	0.0037
66	0.0022
67	0
68	0.0003
69	0.0024
70	0.006
71	0.0044
72	0.0029
73	0.0036
74	0.0037
75	0.0045
76	0.0052
77	0.0046
78	0.0045
79	0.0046
80	0.004
81	0.004
82	0.006
83	0.0038
84	0.0039
85	0.0046
86	0.0053
87	0.0004
89	0.0055
91	0.0041
92	0.0035
96	0.0039
97	0.0041
98	0.0027
101	0.0031
102	0.0046
103	0.0037
108	0.0033
109	0.0031
110	0.0029
111	0.0043
112	0.0035
116	0.0023
117	0.0043
118	0.0052
119	0.0051
120	0.0024
121	0.0062
122	0.0109
123	0.0041
124	0.004
125	0.0044
126	0.0037
127	0.007
128	0.0038
129	0.0031
130	0.0031
131	0.0033
132	0.0043
133	0.0039
134	0.0047
135	0.0049
136	0.0044
137	0.0092
138	0.0049
139	0.0064
140	0.0044
141	0.0053
142	0.0038
143	0.0056
144	0.005
145	0.0057
146	0.0064
147	0.0044
148	0.0065
149	0.0074
150	0.0031
151	0.0116
152	0.0081
153	0.0073
154	0.0069
155	0.0063
156	0.0086
157	0.0082
158	0.0087
160	0.0105
161	0.0125
162	0.0105
163	0.0084
164	0.0096
165	0.0084
166	0.0089
167	0.0108
168	0.0102
169	0.0076
170	0.0062
171	0.007
172	0.008
175	0.0117
176	0.0129
177	0.0093
178	0.0092
179	0.0114
180	0.0087
181	0.0112
182	0.0099
183	0.0089
184	0.0094
185	0.0084
186	0.0082
187	0.0105
188	0.0079
189	0.009
190	0.009
191	0.008
192	0.0098
195	0.0125
196	0.0093
197	0.012
198	0.01
199	0.0042
200	0.0073
201	0.0071
202	0.0081
203	0.0073
204	0.0083
205	0.0074
206	0.0074
207	0.0083
208	0.0069
211	0.0095
212	0.0082
213	0.0084
214	0.0073
215	0.007
217	0.0094
218	0.008
219	0.0081
220	0.0076
222	0.0073
223	0.0062
224	0.0089
225	0.007
226	0.0071
227	0.008
228	0.0082
229	0.0085
230	0.0077
231	0.008
232	0.0074
233	0.007
234	0.0079
246	0.0074
247	0.0074
248	0.0086
249	0.0063
250	0.0067
251	0.0065
252	0.0064
253	0.0063
254	0.0063
255	0.0046
256	0.0048
257	0.0052
258	0.0044
260	0.0051
261	0.005
262	0.0032
263	0.0047
264	0.0053
265	0.0062
266	0.0055
267	0.0028
268	0.0048
269	0.005
270	0.0053
271	0.006
272	0.0023
273	0.004
274	0.0052
275	0.0028
276	0.0043
277	0.0054
278	0.0051
279	0.0043
280	0.004
281	0.0037
282	0.004
283	0.0055
284	0.0056
285	0.0026
286	0.0047
287	0.0051
294	0.0019
295	0.0033
296	0.0052
298	0.0034
299	0.0024
300	0.0023
301	0.0032
302	0.0031
303	0.0038
304	0.0033
305	0.0038
306	0.003
307	0.0006
308	0.002
309	0.0032
310	0.0024
311	0.0037
312	0.0026
313	0.003
314	0.003
315	0.0028
316	0.0029
317	0.0032
318	0.0033
319	0.0028
320	0.003
321	0.0022
322	0.003
323	0.003
324	0.0007
325	0.002
326	0.001
327	0.0007
328	0.0019
329	0.0008
330	0.0011
331	0.0005
332	0.0021
333	0.0022
334	0.002
335	0.0013
336	0.0018
337	0.0016
338	0.0015
339	0.0017
340	0.0005
341	0.0002
342	0.0016
343	0.003
344	0.0032
345	0.0026
346	0.0016
347	0.0018
348	0.0015
349	0.0019
350	0.0019
351	0.0038
352	0.0045
353	0.0031
354	0.0029
355	0.0024
357	0.0012
358	0.0057
359	0.0018
361	0.0012
362	0.0018
363	0.0024
364	0.0008
365	0.0027
366	0.0009
367	0.0043
368	0.0013
369	0.0017
370	0.0014
371	0.0037
372	0.0021
373	0.0016
375	0.0009
376	0.0004
377	0.0026
378	0.0071
379	0.0036
380	0.004
381	0.0033
382	0.0028
383	0.0034
384	0.0093
385	0.0032
386	0.0034
387	0.0027
388	0.0024
389	0.0014
390	0.0012
391	0.0029
392	0.0037
393	0.0028
394	0.0014
395	0.0027
396	0.0041
397	0.0035
398	0.0041
399	0.0036
400	0.0011
401	0.0018
402	0.0018
403	0.0016
405	0.0018
406	0.002
