  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
     0  0.1000000      0.5000000E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       1.148683      -1.148683    
    31  0.4000000E-01  0.1734661E-01   0.000000     -0.6000000E-01  0.1234661E-01   0.000000      0.7080000E-01  0.2488266E-01  0.1287738       0.000000      0.1287738      0.2488266E-01  0.1038911       0.000000      0.7630000E-01  0.1456228E-01  0.6173772E-01  0.4857226E-16  0.6800000     -0.6800000    
    60  0.4000000E-01  0.9127759E-02   0.000000       0.000000     -0.8218851E-02   0.000000      0.6800000E-02  0.6222531E-01  0.6170707E-01   0.000000      0.6170707E-01  0.6222531E-01 -0.5182445E-03   0.000000      0.9260000E-01  0.1553710E-01  0.7706290E-01 -0.2619432E-15  0.6800000     -0.6800000    
    91  0.4418985E-01  0.1205636E-01   0.000000      0.4189848E-02  0.2928606E-02   0.000000      0.2180000E-01  0.6214404E-01  0.5716634E-01   0.000000      0.5716634E-01  0.6214404E-01 -0.4977702E-02   0.000000      0.1158000      0.1965925E-01  0.9614075E-01 -0.1006140E-15  0.7190211     -0.7190211    
   121  0.7046284E-01  0.1832022E-01   0.000000      0.2627299E-01  0.6263850E-02   0.000000      0.1452000      0.1916938E-01  0.1108379       0.000000      0.1108379      0.1916938E-01  0.9166857E-01   0.000000      0.1094000      0.2099459E-01  0.8840541E-01 -0.1387779E-15  0.9372708     -0.9372708    
   152  0.4000000E-01  0.9127759E-02   0.000000     -0.3046284E-01 -0.9192457E-02   0.000000      0.5680000E-01  0.4401858E-01  0.1095262       0.000000      0.1095262      0.4401858E-01  0.6550762E-01   0.000000      0.1674000      0.3094767E-01  0.1364523     -0.5551115E-16  0.6800000     -0.6800000    
   182  0.4000000E-01  0.9127759E-02   0.000000       0.000000       0.000000       0.000000      0.6000000E-03  0.9996208E-01  0.5476655E-01   0.000000      0.5476655E-01  0.9996208E-01 -0.4519553E-01   0.000000      0.2736000      0.4579553E-01  0.2278045     -0.1040834E-15  0.6800000     -0.6800000    
   213  0.4000000E-01  0.9127759E-02   0.000000       0.000000       0.000000       0.000000       0.000000      0.1008979      0.5659210E-01   0.000000      0.5659210E-01  0.1008979     -0.4430583E-01   0.000000      0.2647000      0.4430583E-01  0.2203942     -0.2359224E-15  0.6800000     -0.6800000    
   244  0.4000000E-01  0.9127759E-02   0.000000       0.000000       0.000000       0.000000      0.4000000E-03  0.9639709E-01  0.5659210E-01   0.000000      0.5659210E-01  0.9639709E-01 -0.3980499E-01   0.000000      0.2402000      0.4020499E-01  0.1999950     -0.5551115E-16  0.6800000     -0.6800000    
   274  0.4000000E-01  0.1083715E-01   0.000000       0.000000      0.1709392E-02   0.000000      0.1640000E-01  0.6903390E-01  0.5612835E-01   0.000000      0.5612835E-01  0.6903390E-01 -0.1290554E-01   0.000000      0.1636000      0.2759615E-01  0.1360038     -0.2220446E-15  0.6800000     -0.6800000    
