time,GHB-1,GHB-3
0.000000000000,77.6741090,87.3626852
30.44166666667,86.1848767,95.7685627
60.88333333333,82.9390441,92.5026969
91.32500000000,82.1559065,91.7253398
121.7666666667,80.5884421,90.2490767
152.2083333333,76.8963223,86.6459287
182.6500000000,76.3247529,86.1159097
213.0916666667,78.0322117,88.3657738
243.5333333333,51.2538781,62.0369312
273.9750000000,22.0978688,32.8487902
304.4166666667,28.0116035,38.5620079
334.8583333333,57.6312428,67.9439584
365.3000000000,90.4444664,100.531630
395.7416666667,88.3192163,98.2406467
426.1833333333,85.1194479,94.8779470
456.6250000000,78.5116163,88.1621996
487.0666666667,74.2894001,83.8724753
517.5083333333,72.9098589,82.5429034
547.9500000000,73.0464850,82.8037147
578.3916666667,74.0163823,83.9060149
608.8333333333,75.5181832,85.5187696
639.2750000000,77.1890771,87.2726648
669.7166666667,76.1352484,86.2844158
700.1583333333,72.5765019,82.7197640
730.6000000000,62.0681495,72.1519421
761.0416666667,47.9961515,58.1055433
791.4833333333,42.0659101,52.2392788
821.9250000000,38.1491529,48.6418477
852.3666666667,34.7902584,45.6401651
882.8083333333,34.4016365,45.5600045
913.2500000000,36.2945245,47.8712154
943.6916666667,21.6141236,34.0573841
974.1333333333,-17.6986332,-4.97105616
1004.575000000,0.459070024,12.9621080
1035.016666667,47.9251641,60.0454244
1065.458333333,49.0331033,61.0496649
1095.900000000,47.1521545,59.0478066
1126.341666667,43.8546594,55.6262516
1156.783333333,42.2813856,53.9757759
1187.225000000,39.6593874,51.3696352
1217.666666667,36.7564240,48.4944492
1248.108333333,35.2830906,47.0692421
1278.550000000,37.1108056,49.1341065
1308.991666667,22.0634386,34.7375591
1339.433333333,-18.3369173,-5.45215973
1369.875000000,-50.7597639,-37.8138382
1400.316666667,-4.45830471,7.88655534
1430.758333333,52.6441553,64.6264387
1461.200000000,52.7031283,64.5084932
1491.641666667,53.0643423,64.7008269
1522.083333333,53.9583133,65.4753993
1552.525000000,52.8347824,64.2741350
1582.966666667,52.3982655,63.7461923
1613.408333333,52.9621553,64.2589254
1643.850000000,54.6866771,66.0269327
1674.291666667,56.2307439,67.9348253
1704.733333333,40.9802145,52.7060361
1735.175000000,7.70640083,19.5535603
1765.616666667,25.9568640,37.4311390
1796.058333333,68.5401535,79.6543044
1826.500000000,71.0231947,82.0041347
1856.941666667,73.4224430,84.2760007
1887.383333333,75.9163088,86.6416954
1917.825000000,78.3894851,88.9880877
1948.266666667,80.8053299,91.3186291
1978.708333333,83.3096478,93.9333021
2009.150000000,65.3291283,76.1140836
2039.591666667,36.4588937,47.2248024
2070.033333333,12.3527444,23.0410990
2100.475000000,-15.5465329,-4.86302695
2130.916666667,31.2679448,41.4035053
2161.358333333,98.5527699,108.177694
2191.800000000,99.4973377,108.910120
2222.241666667,99.7710699,108.994467
2252.683333333,97.7395456,106.782997
2283.125000000,95.1076772,104.001224
2313.566666667,93.6389330,102.452609
2344.008333333,92.8299591,101.639656
2374.450000000,93.3595497,102.194002
2404.891666667,94.4316453,103.318360
2435.333333333,95.9974834,104.979634
2465.775000000,97.8444098,107.052969
2496.216666667,99.6602651,108.808997
2526.658333333,97.0404079,106.043247
2557.100000000,89.0603002,97.9533448
2587.541666667,85.7050616,94.5005189
2617.983333333,84.0568877,92.9391685
2648.425000000,83.0589459,92.0841050
2678.866666667,83.1323069,92.2973287
2709.308333333,84.1471846,93.4445064
2739.750000000,85.7101846,95.1381513
2770.191666667,87.6918669,97.4470209
2800.633333333,89.8477376,99.6428733
2831.075000000,91.5641322,101.225503
2861.516666667,92.9094269,102.537202
2891.958333333,94.4274038,104.015600
2922.400000000,95.0235106,104.564931
2952.841666667,92.7039321,102.172977
2983.283333333,91.5427608,100.920227
3013.725000000,89.7336963,99.0932099
3044.166666667,86.8953425,96.2523064
3074.608333333,84.1593073,93.5376708
3105.050000000,83.2667781,92.6906287
3135.491666667,84.4534300,94.0730930
3165.933333333,76.8750745,87.0594489
3196.375000000,78.2453397,88.4233468
3226.816666667,90.7442646,100.611200
3257.258333333,92.5813372,102.377672
3287.700000000,94.2631928,104.014075
3318.141666667,95.5184495,105.213497
3348.583333333,95.3921273,105.019384
3379.025000000,96.2388489,105.780189
3409.466666667,97.4452029,106.937876
3439.908333333,99.1559412,108.884624
3470.350000000,101.234635,111.007521
3500.791666667,71.2490712,81.3593348
3531.233333333,10.6347765,21.0895415
3561.675000000,-18.4156724,-8.52200682
3592.116666667,14.7062571,24.2388112
3622.558333333,67.6582052,76.8545153
3653.000000000,102.550534,111.478789
