time,LUSE2_1,LUSE2_3,LUSE3_1,LUSE3_3,NEW_WELLS
1887.383333333,0.300000000E+31,0.00000000,0.300000000E+31,-2597.58322,0.00000000
1917.825000000,0.300000000E+31,0.00000000,0.300000000E+31,-412.914915,0.00000000
1948.266666667,0.300000000E+31,-254.171749,0.300000000E+31,-2717.40266,0.00000000
1978.708333333,0.300000000E+31,-1632.81759,0.300000000E+31,-3414.39421,0.00000000
2009.150000000,0.300000000E+31,-2570.61676,0.300000000E+31,-4340.50099,0.00000000
2039.591666667,0.300000000E+31,-2177.26101,0.300000000E+31,-3808.74745,0.00000000
2070.033333333,0.300000000E+31,-1852.92895,0.300000000E+31,-3440.73906,0.00000000
2100.475000000,0.300000000E+31,-2036.33695,0.300000000E+31,-3511.86249,0.00000000
2130.916666667,0.300000000E+31,-483.873558,0.300000000E+31,-849.259517,0.00000000
2161.358333333,0.300000000E+31,-9.14441947,0.300000000E+31,-16.1013154,0.00000000
2191.800000000,0.300000000E+31,0.00000000,0.300000000E+31,0.00000000,0.00000000
2222.241666667,0.300000000E+31,0.00000000,0.300000000E+31,0.00000000,0.00000000
2252.683333333,0.300000000E+31,0.00000000,0.300000000E+31,0.00000000,0.00000000
2283.125000000,0.300000000E+31,0.00000000,0.300000000E+31,0.00000000,0.00000000
2313.566666667,0.300000000E+31,0.00000000,0.300000000E+31,-6.87480027,0.00000000
2344.008333333,0.300000000E+31,0.00000000,0.300000000E+31,-376.527421,0.00000000
2374.450000000,0.300000000E+31,0.00000000,0.300000000E+31,-1959.32269,0.00000000
2404.891666667,0.300000000E+31,0.00000000,0.300000000E+31,-3025.96080,0.00000000
2435.333333333,0.300000000E+31,-302.896876,0.300000000E+31,-2639.10361,0.00000000
2465.775000000,0.300000000E+31,-1390.85478,0.300000000E+31,-2514.45798,0.00000000
2496.216666667,0.300000000E+31,-614.616242,0.300000000E+31,-1705.59439,0.00000000
2526.658333333,0.300000000E+31,-6.76820369,0.300000000E+31,-19.1862716,0.00000000
