time,RIVER
0.000000000000,-25536.1351
30.44166666667,-28487.2065
60.88333333333,-30558.9320
91.32500000000,-29489.3512
121.7666666667,-29944.0779
152.2083333333,-32287.6956
182.6500000000,-30409.0093
213.0916666667,-27239.9179
243.5333333333,-24723.0106
273.9750000000,-22999.2577
304.4166666667,-21795.4580
334.8583333333,-21009.2333
365.3000000000,-21221.2034
395.7416666667,-25082.2553
426.1833333333,-28204.3116
456.6250000000,-33525.2112
487.0666666667,-34672.2239
517.5083333333,-33211.7269
547.9500000000,-31100.0108
578.3916666667,-29085.0396
608.8333333333,-27289.2889
639.2750000000,-25967.0878
669.7166666667,-27766.7370
700.1583333333,-31061.2987
730.6000000000,-39834.4289
761.0416666667,-48659.5692
791.4833333333,-46942.0938
821.9250000000,-45175.5205
852.3666666667,-44001.4369
882.8083333333,-40418.6506
913.2500000000,-35904.1946
943.6916666667,-32015.9401
974.1333333333,-29090.9911
1004.575000000,-27273.4269
1035.016666667,-27256.2843
1065.458333333,-27728.3361
1095.900000000,-30704.9064
1126.341666667,-33692.2988
1156.783333333,-33925.6160
1187.225000000,-35321.8484
1217.666666667,-36513.9252
1248.108333333,-35878.8179
1278.550000000,-32094.8360
1308.991666667,-28950.0647
1339.433333333,-26560.4821
1369.875000000,-24754.9922
1400.316666667,-23811.5826
1430.758333333,-23762.7286
1461.200000000,-25873.3469
1491.641666667,-26611.8116
1522.083333333,-26545.1850
1552.525000000,-28424.7310
1582.966666667,-28818.7909
1613.408333333,-28132.3408
1643.850000000,-26173.6321
1674.291666667,-24358.3558
1704.733333333,-22970.6174
1735.175000000,-21781.1311
1765.616666667,-21056.6488
1796.058333333,-20822.4945
1826.500000000,-20664.4517
1856.941666667,-20286.4882
1887.383333333,-19726.6982
1917.825000000,-19504.7024
1948.266666667,-19042.0153
1978.708333333,-18506.0884
2009.150000000,-17905.3421
2039.591666667,-17428.7838
2070.033333333,-17040.7973
2100.475000000,-16668.0922
2130.916666667,-16675.8395
2161.358333333,-17156.7895
2191.800000000,-18532.6391
2222.241666667,-19886.1915
2252.683333333,-22949.4679
2283.125000000,-25392.4255
2313.566666667,-25963.3766
2344.008333333,-25915.5479
2374.450000000,-24633.7609
2404.891666667,-23349.6649
2435.333333333,-22123.0095
2465.775000000,-21047.2942
2496.216666667,-20391.9660
2526.658333333,-24442.9154
2557.100000000,-31812.1808
2587.541666667,-31980.8605
2617.983333333,-31157.0759
2648.425000000,-30334.2731
2678.866666667,-28751.9454
2709.308333333,-26892.9053
2739.750000000,-25146.2667
2770.191666667,-23607.4507
2800.633333333,-22418.9887
2831.075000000,-22131.5128
2861.516666667,-22118.1151
2891.958333333,-21713.1208
2922.400000000,-22387.8993
2952.841666667,-25498.1207
2983.283333333,-26201.1361
3013.725000000,-27454.7041
3044.166666667,-29311.1377
3074.608333333,-30462.9810
3105.050000000,-29414.3101
3135.491666667,-26789.2259
3165.933333333,-24444.4824
3196.375000000,-22706.1089
3226.816666667,-22419.2896
3257.258333333,-21838.1865
3287.700000000,-21594.5123
3318.141666667,-21715.9355
3348.583333333,-22996.4090
3379.025000000,-22525.1011
3409.466666667,-22094.7776
3439.908333333,-20774.5049
3470.350000000,-19788.6776
3500.791666667,-18713.0466
3531.233333333,-17712.8402
3561.675000000,-17495.7383
3592.116666667,-17268.2393
3622.558333333,-17102.8494
3653.000000000,-17360.6118
