time,H1-4429,H1-1940,H1-193,H3-3932,H3-4569,H3-3794,H3-4343,H3-3716,H3-4025,H3-4429,H3-1394,H3-387,H3-259,H3-405,H3-867,H3-4518,H3-2585,H3-641
0.000000000000,88.10814501,83.82058089,83.91751482,91.28315311,91.95401874,90.27730816,88.86701677,88.02852220,87.87596716,87.59080303,84.32268604,93.03365032,88.79115012,87.74231651,85.45085214,84.75858077,84.43237101,84.53700159
30.44166666667,88.16643316,83.87116968,83.97639519,91.37561108,92.02139544,90.37518736,89.09443998,88.08183569,87.95408472,87.72029240,84.42118371,93.09185335,88.87536072,87.82848603,85.61285377,84.82326554,84.48408852,84.64182670
60.88333333333,88.24283087,83.91028835,84.03199501,91.46814393,92.08942732,90.46770258,89.18002945,88.13866233,88.03231486,87.80430324,84.48257957,93.15941459,88.96393252,87.90748272,85.70253737,84.88358126,84.52466095,84.70202238
91.32500000000,88.27411287,83.89646706,84.02683575,91.48535199,92.10446477,90.47470115,89.18266428,88.14726726,88.04487493,87.81752546,84.46338133,93.17729575,88.97469053,87.90521296,85.67338884,84.88391176,84.51661574,84.67839431
121.7666666667,88.30648211,83.90408399,84.03984014,91.51989200,92.13411428,90.50233340,89.21196578,88.16829807,88.07427915,87.84790615,84.48472833,93.21036269,89.01166361,87.94082915,85.71901446,84.89897232,84.52677015,84.70749635
152.2083333333,88.37867770,83.94377529,84.09346252,91.61182991,92.20735605,90.59107325,89.30518890,88.22504983,88.15270008,87.93266917,84.54739155,93.28529341,89.10964506,88.04013820,85.82368223,84.95556232,84.56532962,84.78374506
182.6500000000,88.40242798,83.90544121,84.07481732,91.61964700,92.21926910,90.58526814,89.30117692,88.22613037,88.15542088,87.93631016,84.41798611,93.30188962,89.10018893,87.99211276,85.56957300,84.94556954,84.52233744,84.62957520
213.0916666667,88.34671485,83.83511871,84.01512453,91.50805309,92.14556239,90.45721251,88.54339977,88.17863440,88.06490716,87.61842940,84.26321378,93.27501835,89.03172872,87.89752555,85.30100043,84.86307200,84.45197751,84.46557848
243.5333333333,88.25815200,83.77753373,83.95306135,91.40243853,92.07497250,90.34173254,88.21417987,88.12147444,87.97409465,87.44629365,84.17590842,93.23324304,88.95366430,87.81472658,85.17269474,84.78922472,84.39779659,84.38317407
273.9750000000,88.17929250,83.74436431,83.89918571,91.34746511,92.03756736,90.28500174,88.55484878,88.06998327,87.91583845,87.52099736,84.16542421,93.18548301,88.87952315,87.75446997,85.18974770,84.74837396,84.36930698,84.38256410
