time,RCH-1,RCH-2,RCH-3
0.000000000000,39209.9315,2132.85395,3084.14404
30.44166666667,82453.3596,4337.40886,4052.51437
60.88333333333,88766.4227,3772.63966,3804.77640
91.32500000000,51454.3890,1236.04554,1387.49119
121.7666666667,62987.5129,2285.05842,2828.97262
152.2083333333,93904.8848,4442.75554,5212.17155
182.6500000000,50006.9661,1095.73569,1561.01375
213.0916666667,18101.9710,135.486438,949.071110
243.5333333333,7623.62749,81.1853084,931.922421
273.9750000000,3687.32450,83.5506943,945.263463
304.4166666667,3049.51398,89.6097185,969.045555
334.8583333333,3349.07636,132.042609,1162.10693
365.3000000000,13990.1297,2056.42225,5129.94916
395.7416666667,70045.3104,9931.02413,13079.8752
426.1833333333,85196.0482,6396.86445,6937.88597
456.6250000000,134614.957,9949.52356,10025.6615
487.0666666667,101698.724,4433.92301,4470.64573
517.5083333333,61838.6458,1713.24022,1813.42035
547.9500000000,40470.9612,787.556710,980.789742
578.3916666667,28587.2340,417.640706,932.855505
608.8333333333,20835.6696,230.480041,931.922421
639.2750000000,18155.5533,244.069910,1344.48109
669.7166666667,56929.3460,3120.94969,6828.13128
700.1583333333,93062.7716,6256.64746,8343.19268
730.6000000000,193437.443,17089.8610,17425.8112
761.0416666667,246897.992,12895.5360,12415.9369
791.4833333333,133283.346,4120.59988,4104.18811
821.9250000000,106072.982,3367.45694,3559.46518
852.3666666667,99335.8302,3377.57777,3733.00930
882.8083333333,57800.9194,1121.75257,1442.03239
913.2500000000,25592.1218,199.451196,931.922382
943.6916666667,11442.3654,81.0669564,931.922420
974.1333333333,5134.82823,79.8678825,931.922421
1004.575000000,5435.14413,426.748121,2171.17262
1035.016666667,22462.1183,3037.26211,6599.65808
1065.458333333,34117.6371,3618.64963,5307.78008
1095.900000000,76481.2496,8053.39079,9091.64571
1126.341666667,97001.0047,6987.87298,7295.71680
1156.783333333,72793.4993,2961.79965,3251.92219
1187.225000000,88082.6919,4079.63445,4525.14057
1217.666666667,92605.2445,4069.48985,4575.21667
1248.108333333,72679.9193,2313.61975,2768.00412
1278.550000000,25733.2602,216.471751,931.922382
1308.991666667,10708.2674,79.9052672,931.922421
1339.433333333,4824.23529,79.8678825,931.922421
1369.875000000,2562.30785,79.8678869,931.922381
1400.316666667,2892.17513,194.118456,1298.49966
1430.758333333,13372.0949,1884.53701,4629.69889
1461.200000000,46730.5147,7003.36501,9608.54610
1491.641666667,41883.7802,3083.76267,3752.56311
1522.083333333,34015.7999,1551.21912,1949.22688
1552.525000000,62628.7602,3717.40233,4392.50848
1582.966666667,52862.2088,2105.60610,2559.80749
1613.408333333,38497.5759,1023.61288,1340.40372
1643.850000000,21731.8135,294.543532,933.846358
1674.291666667,9731.71344,84.9815422,931.922420
1704.733333333,5945.68582,81.2449121,935.215400
1735.175000000,3719.07247,79.9554393,932.016797
1765.616666667,2794.25789,96.3960724,999.666881
1796.058333333,6146.38989,434.019933,2001.76335
1826.500000000,8009.28204,548.394138,1716.04127
1856.941666667,7569.75475,388.936184,1104.78822
1887.383333333,5620.82881,172.745265,933.572907
1917.825000000,5289.56301,137.278692,1007.99008
1948.266666667,5532.04318,141.795453,971.609283
1978.708333333,3937.63183,84.9460678,943.162448
2009.150000000,2606.15369,80.0173669,932.168852
2039.591666667,1564.39116,79.8698611,931.925682
2070.033333333,1157.74849,83.8106730,947.650998
2100.475000000,765.310604,79.9391065,932.206491
2130.916666667,1196.13100,253.586472,1627.34319
2161.358333333,6799.04743,2206.20735,5182.78998
2191.800000000,22333.6328,5111.11198,7467.10498
2222.241666667,30691.5768,4077.51108,4988.08552
2252.683333333,63615.4438,7090.22485,7652.72169
2283.125000000,72555.0058,5180.52629,5531.94106
2313.566666667,56392.5156,2311.88899,2653.69869
2344.008333333,47280.9030,1538.83025,1849.10671
2374.450000000,28336.7110,499.941508,1059.55724
2404.891666667,20568.3375,267.004099,945.359384
2435.333333333,13451.6145,114.396799,998.531840
2465.775000000,9458.48092,87.3243391,963.185326
2496.216666667,9579.43270,224.931467,1496.26059
2526.658333333,72727.8868,8122.94285,13689.0244
2557.100000000,150069.685,11873.5681,13221.8227
2587.541666667,85384.3421,3069.04501,3394.95201
2617.983333333,61759.4422,1653.42436,1944.24804
2648.425000000,52984.7764,1361.14334,1636.19476
2678.866666667,38038.6048,739.414062,1057.54074
2709.308333333,24727.1482,308.044284,952.014853
2739.750000000,16863.7619,149.528342,983.970105
2770.191666667,10984.8064,80.7955671,932.582091
2800.633333333,8221.22662,101.747251,1037.35500
2831.075000000,14003.5359,462.766858,2181.72612
2861.516666667,18984.4611,810.784344,2270.97268
2891.958333333,16229.0450,509.092041,1365.76091
2922.400000000,29110.2588,1893.05039,3463.18225
2952.841666667,70725.6068,5647.31033,7356.23638
2983.283333333,54509.2843,2466.51316,3008.56913
3013.725000000,64023.2774,2865.22679,3448.84062
3044.166666667,79154.4773,4052.09299,4790.12734
3074.608333333,78309.3184,2979.99157,3567.71222
3105.050000000,52509.9762,1298.51195,1696.71948
3135.491666667,23122.4895,211.027118,944.483708
3165.933333333,10957.1324,83.7560462,931.922421
3196.375000000,5569.56276,85.2078652,956.403838
3226.816666667,13854.2913,917.269764,3281.98874
3257.258333333,12686.2697,545.156380,1566.50684
3287.700000000,14453.5338,582.878082,1647.09035
3318.141666667,20175.6681,956.803289,1998.46525
3348.583333333,39651.6687,2462.30191,3816.38745
3379.025000000,25630.4683,731.068426,1295.45116
3409.466666667,20238.1434,401.121130,1253.85692
3439.908333333,13034.8145,160.231380,948.723349
3470.350000000,5952.65266,81.7272048,937.576523
3500.791666667,3681.00103,79.8805206,931.960853
3531.233333333,1855.43472,79.8678825,931.922421
3561.675000000,1034.65482,79.9751249,931.988321
3592.116666667,1167.86258,105.016687,1026.55193
3622.558333333,1602.17353,173.046256,1173.90620
3653.000000000,6534.74796,2049.55948,4579.34852
