pointid   X                     Y                   North_or_South    Multiplier
1       974034.33990303       125354.808529831          1                1.6766000E+01
2       974700.30987241       125827.432379068          1                1.9917600E+01
3       974850.690188076      126686.74846859           1                2.0000000E+01
4       974549.929556743      127653.479069303          1                1.9867600E+01
5       974700.30987241       128727.624181205          1                2.0000000E+01
6       975108.485014933      129629.906075203          1                6.9279700E+00
7       976010.766908931      129479.525759537          1                1.2636100E+01
8       976612.288171596      129586.940270727          1                5.0936900E+00
9       977514.570065595      130038.081217726          1                4.2572200E+00
10      978545.749373021      129930.666706536          1                4.0600600E+00
11      979039.856124496      129286.179639394          1                2.2631300E+00
12      978524.266470783      128663.175474491          1                3.9877900E+00
13      978631.680981973      127674.961971541          1                2.2389300E+00
14      978910.958711068      127116.406513351          1                1.4341900E+00
15      979684.343191638      126815.645882018          1                3.9690600E-01
16      980457.727672208      126751.197175304          1                3.9778300E-01
17      980651.07379235       127717.927776017          1                2.1569300E-01
18      981338.526663968      128276.483234206          1                3.2025300E-01
19      982305.25726468       128212.034527492          1                2.2344100E-01
20      983293.47076763       128706.141278967          1                2.4817700E-01
21      984195.752661629      129221.73093268           1                3.0320000E-01
22      984625.41070639       129844.735097584          1                3.5228800E-01
23      985699.555818292      130102.52992444           1                2.6783200E-01
24      985914.384840673      129801.769293108          1                3.0752600E-01
25      985635.107111578      129114.31642149           1                2.4649000E-01
26      985269.897773531      128255.000331968          1                4.5720200E-01
27      985269.897773531      127546.064558112          1                4.2272000E-01
28      985463.243893674      126858.611686495          1                3.2645700E-01
29      986086.248058577      126794.16297978           1                5.2250400E-01
30      986301.077080958      126643.782664114          1                5.7731200E-01
31      986129.213863053      126300.056228305          1                4.6140300E-01
32      985935.867742911      125891.881085782          1                4.8548700E-01
33      986064.765156339      125032.56499626           1                6.6145900E-01
34      986494.4232011        124108.800200024          1                7.1905600E-01
35      987224.841877194      123765.073764215          1                1.0003800E+00
36      987998.226357764      123313.932817216          1                7.0987600E-01
37      988857.542447286      122884.274772455          1                5.1115100E-01
38      973153.54091127       124667.355658213          2                1.7962200E+01
39      973798.027978412      124173.248906738          2                2.0000000E+01
40      974356.583436601      123979.902786596          2                1.9574100E+01
41      974549.929556743      123077.620892597          2                3.5872000E+00
42      975065.519210457      122819.826065741          2                3.0744100E+00
43      975795.93788655       123206.518306026          2                4.4284600E+00
44      976504.873660406      122583.514141122          2                1.5614600E+00
45      977385.672652166      122239.787705313          2                5.4196100E-01
46      977965.711012594      122433.133825456          2                5.3216400E-01
47      978223.50583945       123142.069599312          2                6.1967900E-01
48      979018.373222258      123614.693448549          2                7.6478100E-01
49      979684.343191638      123464.313132882          2                7.6660400E-01
50      980393.278965493      123249.484110502          2                3.3688000E-01
51      980908.868619207      123829.522470929          2                2.9596500E-01
52      981832.633415443      124151.7660045            2                2.2645800E-01
53      982971.22723406       124065.834395548          2                2.2321500E-01
54      984023.889443724      123679.142155263          2                1.8226500E-01
55      985033.585848913      123034.655088121          2                3.4798800E-01
56      985549.175502626      122433.133825456          2                5.5980400E-01
57      986279.59417872       121810.129660552          2                8.1737100E-01
58      986752.218027957      120929.330668792          2                6.3353100E-01
59      987482.636704051      120306.326503889          2                7.1615400E-01
60      988320.469891335      120263.360699413          2                1.1983700E+00
61      988599.747620429      121079.710984459          2                1.1094200E+00
