ParSetIndex,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
k_ppt1,1.624023,1.783259,0.4527792,0.7258157,1.884522,1.850472,0.2022046,6.485157,0.4004566,2.595905,2.654807,2.372397,1.137370,3.820667,0.2796459,0.5766538,1.256974,0.2741272,1.783409,0.7124732,0.3051955,0.6633665,0.3682041,1.317914,3.996407,6.044695,2.922528,0.2506811,20.31451,0.8739084,0.5697649,0.7345359,0.3994208,2.350681,1.432548,1.576153,0.4757447,3.418255,0.2469513,0.5560046,0.3405006,0.4522352,1.933709,1.894232,1.693962,0.8831878,0.3036441,1.683357,0.1355325,0.3353830
k_ppt2,1.177496,1.044257,1.126458,1.495714,1.976858,1.444625,0.3396631,1.325033,0.9908601,2.049735,2.598846,1.881614,0.9622923,3.047701,0.2897157,0.9775912,0.5752659,0.1649818,1.185239,3.035224,0.4622567,0.3819624,0.7850756,3.999479,6.344999,15.25331,2.259067,0.3628470,9.709926,1.643552,0.7035462,0.9167884,1.231188,6.353556,1.564998,1.093322,1.299371,3.000314,0.2661373,0.2696286,0.1029209,0.2903775,2.484505,1.649828,1.540517,2.279717,0.3321388,0.8364515,9.9874467E-02,0.2856676
k_ppt3,0.9956080,0.4377615,0.5730965,2.253273,1.932465,0.4221268,0.2529929,1.164715,0.3645351,1.561879,1.811769,1.595740,0.4539420,3.412023,0.5808333,1.432587,0.6273365,0.6769818,0.4101863,2.537379,0.7934216,0.4327013,1.107159,1.644441,2.659187,11.12079,4.130786,0.4246966,3.794176,1.886738,1.726156,0.4729298,1.389336,4.715926,2.271453,1.919038,0.7984481,3.393641,0.3755203,0.5737303,0.1210266,0.2718581,0.8103166,0.3005884,1.332697,0.2373594,0.5417283,1.198583,0.5051518,0.2760797
k_ppt4,1.219440,0.5779031,0.6149278,0.9259541,0.5639459,0.1581036,0.3845488,0.7546646,0.5978689,0.7886804,0.8347686,1.435877,1.772350,4.552152,0.6906051,0.6439451,0.7674415,0.5715209,0.7673586,1.498324,0.9106953,1.063934,2.458497,2.853656,1.700934,2.329061,4.558397,0.7746654,7.508226,3.286827,1.023417,0.2638179,0.7933016,5.421830,3.484152,0.7465887,0.6784705,1.026038,0.4259914,1.361092,0.1439286,0.3775992,0.3562248,0.3166995,0.6637953,0.6676978,0.8284301,1.725546,0.4228604,0.1987528
k_ppt5,1.796007,1.109217,0.3157773,1.283827,0.5038165,0.2842836,0.7142205,3.091360,0.7007180,0.9105564,2.047131,1.366109,4.408612,15.42849,0.7632241,0.4669380,0.6163688,0.4759957,1.156968,0.3077641,0.4038706,2.519845,3.181430,1.049272,2.645254,1.461167,3.809989,0.5783096,5.401722,1.254688,0.6032772,0.3455649,1.537777,1.552097,1.943426,1.477960,0.5676951,0.5845329,0.2643002,1.510960,0.4896031,0.3556356,0.3617197,0.5118338,1.080599,0.8019642,0.6716136,1.990061,0.1347523,0.3174964
k_ppt6,3.020729,0.8839033,0.3079890,2.154945,0.3553817,0.6487932,1.134901,5.028177,0.6930386,1.250978,2.309204,0.6402027,1.993127,2.506372,0.7721443,0.5391295,5.895981,0.5229233,1.226590,0.4329918,0.5674602,1.991049,3.018139,0.7637140,3.142063,1.274891,0.5555187,0.4250237,1.644474,1.372432,1.388436,0.6885751,1.397649,0.7823364,0.5180893,1.310222,0.2856624,0.9081608,0.1519233,1.924724,0.3743524,3.945492,0.7153047,0.5843008,1.591856,0.7696241,3.057481,3.399475,1.186494,0.3884711
k_ppt7,3.171071,2.300232,0.4644151,3.446535,1.946789,0.7522753,1.344649,4.006419,0.7532270,0.7544936,0.6869214,0.9515484,0.8160202,0.8311394,0.4333978,0.6207811,7.791197,0.3199808,0.4942801,0.3269255,0.6454382,1.179317,0.9004707,2.713259,3.637790,0.3787765,0.8877556,0.4549933,1.742681,0.4846895,0.7934009,2.431978,2.251992,0.6471326,0.4590392,0.7317192,0.1954631,1.031326,0.2637569,0.8772046,0.1891943,1.895014,0.8660646,0.3270168,0.9299223,0.4465365,3.268875,2.076200,1.283401,1.468720
k_ppt8,2.684875,0.7899895,0.8096357,6.374768,1.218134,1.078927,0.6547652,0.8283175,2.243830,0.1738778,7.4511483E-02,2.015939,0.6411273,1.185594,0.6519879,0.9198887,7.713460,0.2238547,0.5721220,0.3657081,1.098874,0.7864123,4.087808,0.7238653,1.517941,0.9052826,0.2383752,0.1938782,5.424677,0.1767725,1.197797,1.772770,5.168374,0.3496296,0.7671615,1.401252,0.1684785,0.5855975,0.3435357,0.9977108,0.1835187,1.079856,1.378672,0.2072220,0.7444867,0.4570263,1.730266,2.347008,1.528386,1.472694
k_ppt9,1.904709,2.760593,1.115462,0.3633764,0.4871175,1.754580,0.1163478,9.340066,1.265678,3.340548,2.763362,2.985665,0.6124169,1.310923,0.1687329,0.9596080,0.8807753,0.3819635,2.945390,1.139263,0.5282701,1.153141,0.3426364,2.556142,2.328110,5.099440,1.671953,0.4064965,6.316662,1.182160,0.2796336,0.3698928,0.2779496,2.722119,1.052477,2.547251,1.662700,3.049163,1.112586,1.221995,0.2605696,0.9373264,3.221005,2.152261,3.362546,0.7135546,1.084372,2.133259,0.2921843,0.6628218
k_ppt10,1.294604,1.558625,0.7313199,0.4854832,0.8608224,0.7615593,0.3258317,1.583909,0.9581473,3.086924,2.721976,3.618094,0.8014218,2.447413,0.1894700,0.3838122,0.8069870,0.5450756,0.5153857,1.773725,0.5891220,0.7767228,0.3953443,2.647139,3.147468,6.215467,0.8404232,0.6295315,2.199723,0.9802033,0.8736363,0.4320819,0.8162979,3.792105,1.576564,1.439655,2.524949,2.225745,0.4289014,1.085728,0.1335519,1.575379,2.658156,0.2860324,2.008504,2.048803,0.6296504,1.750311,0.1430455,0.1225980
k_ppt11,1.589536,0.9550602,0.4951157,1.037094,1.518160,0.6391268,0.1586278,0.3634531,0.4731962,0.7511892,0.7978736,0.9588450,0.8848368,2.120533,0.1294306,1.667533,0.9442618,0.5273352,0.2684176,1.304926,0.9791289,0.3620029,1.909743,1.884036,1.953902,2.973418,1.462710,0.7996009,3.743173,1.674599,0.3168021,0.5103212,1.517372,4.522151,0.6600633,1.121510,2.077382,1.946770,0.2843091,0.2710396,0.1537935,0.1643670,1.573611,0.9991614,0.3526541,0.7003708,0.4478593,1.422756,0.3319852,0.3569969
k_ppt12,3.015691,0.9187071,0.4795177,0.7536054,1.380250,0.4689063,0.5345200,0.8043333,0.8337012,0.4358726,0.6623359,1.985737,1.262207,2.253923,0.5697587,1.177036,1.192437,0.5017141,1.449253,0.5426848,0.3010062,0.5925944,3.272809,1.570592,2.822144,1.611071,3.523383,0.3558336,2.191684,2.114313,0.5624302,0.4935498,2.199796,1.935708,1.124902,0.5470187,0.8391348,1.569907,0.5412008,0.7579217,0.3724210,0.5699180,0.6558599,0.7800944,0.6459191,1.041049,0.9134062,1.405638,0.5769199,0.2711955
k_ppt13,0.9735001,0.9213997,0.2996359,2.396624,0.5644897,0.2274159,1.064232,2.218015,0.5968329,0.8915635,0.3322798,2.103633,1.066197,3.112658,1.096935,0.5281356,1.405229,0.2018288,0.7713024,0.2227626,0.3642389,1.773375,1.977960,1.886693,2.504891,3.594679,2.194452,0.9232077,1.088373,1.832130,0.1523547,0.9562529,1.850299,1.651775,1.022818,0.7379462,0.4983206,0.4489699,0.5030525,1.289543,0.9553309,0.9670656,0.6692363,0.8154536,0.8626234,0.3292468,0.9032642,1.846788,1.104941,0.4746320
k_ppt14,1.469107,1.569907,0.4185882,1.595629,1.440565,0.2664473,1.018213,2.084542,0.4824617,0.6214294,1.015692,2.451437,1.129150,4.458226,0.2385747,0.3781968,3.119821,1.168723,0.7940408,0.2491001,1.188365,2.902911,1.976652,7.004103,1.095064,1.021747,1.566251,1.034472,1.192894,0.4575751,0.3553940,0.7965161,1.648237,1.030930,0.6035918,0.7408193,0.2127081,0.3149532,0.1256933,2.929769,0.4003301,0.4916784,2.177799,0.9987878,0.9220781,0.2725645,1.256692,1.459779,3.100121,0.1601831
k_ppt15,3.618247,2.557614,0.2553807,2.475464,1.549008,0.5438684,1.096398,4.365204,0.8417324,0.3080333,0.2903429,1.863092,1.790883,1.670331,0.1405067,0.3031180,2.342160,0.6889364,0.2420775,0.2891600,0.3971416,0.9582069,2.683520,2.865146,0.9836697,1.167543,1.866226,0.5535232,1.926389,0.5326242,0.3782728,1.228780,2.206169,0.2318207,0.4837630,0.2920149,0.2539306,1.078151,0.4563232,2.252929,0.4601333,1.440101,2.191120,0.5173644,0.3167478,0.4748192,1.273196,2.597279,2.776003,1.790727
