ObsSetIndex,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
well01_1,3.071810,4.704283,12.66340,4.044218,5.763242,9.975872,12.67144,2.893144,8.397727,7.427851,9.574137,4.482151,6.614541,2.342773,16.80716,8.308883,4.400379,13.28294,9.093617,9.291666,8.017247,5.894481,3.996136,2.554460,3.013320,2.973701,3.109589,5.646517,2.233899,6.753847,8.297321,9.286766,4.745363,4.452868,4.714296,6.510289,11.20189,4.797775,17.41916,6.804199,19.99413,7.329997,5.427226,9.603141,9.703417,7.793924,8.430038,3.541431,11.09801,13.46142
well02_1,2.964705,4.886317,13.17836,4.199797,5.782021,9.092292,12.61060,2.849950,8.478081,10.57005,8.870720,4.063223,6.940295,2.353945,16.79620,7.921679,4.315701,13.79066,9.054082,8.783582,8.621479,6.478694,4.045892,2.348112,2.695089,2.965388,3.428405,7.373024,1.962259,6.423357,7.927461,9.005072,4.747905,4.418181,5.157934,6.591729,12.45225,4.292570,17.40140,6.710200,20.91060,7.502994,4.878170,10.27166,9.367267,7.727500,8.604741,3.375076,11.28580,13.86414
well03_1,2.920987,4.696907,14.95167,4.697399,5.926959,9.463944,12.48456,2.722199,8.526810,9.858160,5.629630,3.866138,7.107967,2.217786,17.15812,8.127293,4.204242,14.19681,7.653899,10.29502,9.050872,6.641275,4.115150,2.162559,2.609150,3.227581,4.281139,8.471518,2.243104,5.921548,7.961602,8.835925,4.701408,4.534711,5.730733,6.046347,11.98891,4.366238,16.43556,6.622861,21.05148,7.538005,5.008922,10.85120,9.361020,7.955032,8.710697,3.311669,11.31363,13.82544
well04_1,2.217586,2.871722,9.798077,3.595400,4.411017,5.219625,11.41696,2.133524,6.815592,4.491590,5.530440,2.798506,5.494666,1.647167,14.87332,6.520536,3.301625,9.196582,5.386427,5.504584,6.357518,4.444747,3.509071,1.429646,1.544620,1.733220,2.102515,3.975749,1.435238,5.453107,5.992737,7.256675,4.241394,2.216622,3.756940,4.191235,5.857357,3.172774,13.94919,5.202787,14.14693,5.313291,3.095754,4.841599,4.776858,5.296529,5.435598,2.319434,10.06178,11.74324
well05_1,2.226461,3.280023,9.611040,3.691035,4.462371,6.038011,10.33433,1.918913,6.684795,4.310091,3.134339,2.705785,5.267951,1.372574,14.55413,6.604546,3.496807,9.293732,4.827897,4.838164,6.803548,4.600954,3.533911,1.526590,1.827825,1.494699,2.368348,4.398617,1.204234,4.352037,6.284144,7.544476,4.105250,1.930586,3.544108,3.962393,5.202279,2.962484,12.88394,5.297991,14.62469,5.643062,3.679177,4.904542,4.143022,5.635902,5.903163,2.554516,10.62216,12.03858
well06_1,2.176076,3.552603,9.940133,3.646861,4.225950,6.223261,10.23104,1.763436,6.684564,3.989191,2.203648,2.637140,5.418529,1.426597,13.73175,6.843883,3.180754,9.449487,3.949028,5.397366,7.343162,5.295985,3.280714,1.398660,1.830612,1.585314,1.827781,5.131241,1.056759,4.264551,6.345356,7.061409,3.810470,2.012033,3.289570,3.989676,5.523078,3.124053,13.03552,5.513451,15.22792,5.684516,3.797921,4.492992,4.327266,5.665952,6.484663,2.672301,10.72451,11.45644
well07_1,1.026590,1.693836,6.136158,3.020337,2.205709,2.873398,5.882277,1.341140,3.691314,3.355352,2.309221,1.753759,4.479806,0.8844863,7.489732,3.654845,2.568854,4.653461,3.311168,2.512131,4.006611,3.229841,2.620707,0.6482768,0.6130708,0.8008209,1.038912,2.998986,0.8319040,1.711411,2.838623,5.018812,2.034250,0.5582492,1.785030,2.729338,1.733919,1.217747,5.649324,3.568028,6.176513,4.493401,1.942157,2.373763,2.374657,2.370463,4.168209,1.610488,6.193606,7.449598
well08_1,1.179895,2.519460,5.505816,2.727173,2.191084,3.209419,6.523594,1.528362,4.724483,2.759450,0.9885543,1.839499,4.097222,0.9918816,7.412414,3.846140,2.191272,4.237213,2.304892,3.362966,4.739909,2.813603,2.571721,0.6979382,0.6911433,0.5835002,0.7224723,3.020943,0.8206161,1.285843,3.253134,4.167580,1.824357,0.5478970,1.957854,2.587975,1.734658,1.796760,4.711370,4.122231,6.422084,4.295402,1.989962,2.349322,2.150778,2.307253,4.104947,1.825083,7.036289,6.714811
well09_1,1.189328,2.899867,3.873105,2.130877,2.224726,3.535229,6.127675,1.459189,5.757385,2.849767,0.9632513,2.104862,3.508289,0.8921526,6.974151,3.264486,2.208158,3.551473,2.165771,3.342383,4.956084,2.454277,2.567089,0.6730512,1.162451,0.5178159,0.4261371,2.486876,0.8156291,1.422364,4.351241,3.835820,2.356474,0.7731488,1.842114,2.378747,1.809957,1.740320,5.941585,3.863341,6.107791,2.888452,2.138153,2.357561,2.189273,2.285994,4.206483,1.941894,7.030899,8.560606
well10_1,0.1947418,0.5649359,1.506968,1.110568,0.6679664,0.5474461,1.537719,0.6160106,1.235566,1.376367,0.5283505,0.5727965,2.268318,0.1997818,1.910260,0.9394650,1.057362,0.9803041,1.149417,0.7414600,0.8728635,1.710677,0.6059325,0.1028211,0.2443809,0.3267537,0.4423502,0.9150093,0.2921346,0.2962933,0.5527563,1.142267,0.3226417,0.2492416,0.3055532,1.140340,0.2399532,0.2832484,0.3439851,1.248424,2.110423,1.377614,0.9549914,0.8994314,1.021144,0.6114392,1.863785,0.6646260,1.232654,1.345293
well11_1,0.2589609,0.9098227,1.219339,1.078053,0.6825002,0.5794359,1.190521,0.6022721,1.269405,1.220785,0.4430425,0.5811931,1.977521,0.2413059,1.853210,1.443678,0.7827729,1.283997,0.5029621,0.7323335,1.307253,1.062991,0.5421216,0.1503215,0.3194548,0.2641564,0.1693414,0.6617629,0.1653955,0.3577121,0.8104154,0.9913239,0.3647983,0.2177562,0.5996075,0.9234498,0.3723247,0.3372610,0.2388324,1.206516,1.017148,1.126653,0.6154345,0.6010905,0.8953577,0.3120742,2.360138,0.5067177,1.340724,0.8014292
