real_name,k_ppt1,k_ppt2,k_ppt3,k_ppt4,k_ppt5,k_ppt6,k_ppt7,k_ppt8,k_ppt9,k_ppt10,k_ppt11,k_ppt12,k_ppt13,k_ppt14,k_ppt15,k_ppt16,k_ppt17,k_ppt18,k_ppt19,k_ppt20,k_ppt21,k_ppt22,k_ppt23,k_ppt24,k_ppt25,k_ppt26,k_ppt27,k_ppt28,k_ppt29,k_ppt30,k_ppt31,k_ppt32,k_ppt33,k_ppt34,k_ppt35,k_ppt36,k_ppt37,k_ppt38,k_ppt39,k_ppt40,k_ppt41,k_ppt42,k_ppt43,k_ppt44,k_ppt45,k_ppt46,k_ppt47,k_ppt48,k_ppt49,k_ppt50,k_ppt51,k_ppt52,k_ppt53,k_ppt54,k_ppt55,k_ppt56,k_ppt57,k_ppt58,k_ppt59,k_ppt60,k_ppt61,k_ppt62,k_ppt63,k_ppt64,k_ppt65,k_ppt66,k_ppt67,k_ppt68,k_ppt69,k_ppt70,k_ppt71,k_ppt72,k_ppt73,k_ppt74,k_ppt75,k_ppt76,k_ppt77,k_ppt78,k_ppt79,k_ppt80,k_ppt81,k_ppt82,k_ppt83,k_ppt84,k_ppt85,k_ppt86,k_ppt87,k_ppt88,k_ppt89,k_ppt90,k_ppt91,k_ppt92,k_ppt93,k_ppt94,k_ppt95,k_ppt96,k_ppt97,k_ppt98,k_ppt99,k_ppt100,k_ppt101,k_ppt102,k_ppt103,k_ppt104
0,0.286037,0.421159,0.230169,0.479842,0.845591,0.902565,1.73276,2.40695,0.356865,0.364963,0.437904,0.84758,0.900965,3.11971,2.75961,1.09675,0.423625,0.366447,0.69608,1.1839,0.936396,1.75264,3.81155,0.916473,1.03794,1.00441,0.524862,0.636398,0.990567,3.10352,2.43833,2.85874,0.376487,0.858224,0.477209,0.747916,1.04628,1.72177,1.59552,1.32894,0.773522,0.512953,1.00076,1.13364,1.34395,1.35297,0.581605,1.15839,0.204144,0.354552,1.10639,0.714321,1.26027,1.38726,1.8998,1.58073,0.471823,0.552847,1.39356,1.17045,2.03984,1.00198,0.973645,2.13188,0.619602,0.828363,1.08665,1.9356,2.05987,2.02471,2.24479,3.30728,0.588089,0.741619,0.78151,2.24019,1.94101,3.65375,1.99625,1.4351,0.399058,0.389291,0.679519,1.68959,1.14442,1.31569,2.30503,1.38799,0.282935,0.468451,0.715435,1.37899,0.61726,0.807353,0.928129,1.55737,0.285555,0.79036,0.384248,0.835185,0.519374,1.12324,0.899104,0.776017
1,0.414441,0.298203,1.79004,0.940415,0.302157,0.505805,0.917182,0.870293,0.578958,1.70101,1.44422,0.352277,0.346711,0.36294,0.288743,0.817938,0.62925,0.459232,0.432249,0.462789,0.288856,1.16214,0.625334,0.909095,1.172,0.837152,0.572858,0.90921,0.645857,0.739235,0.438773,0.956181,1.25416,1.23786,0.990193,0.670401,1.14811,1.03436,1.07539,3.05166,1.293,2.31384,2.27324,1.33447,2.18335,1.3318,0.882669,4.56753,0.745718,2.24502,2.15822,1.76356,2.85776,1.12476,1.52654,2.22595,0.783607,1.20369,1.61037,1.04254,1.88417,1.49634,2.67109,1.66132,0.695575,3.07273,2.7748,0.69379,1.52894,1.7168,3.23659,2.70023,0.717216,1.54585,0.76695,0.441766,1.0304,2.08093,3.84469,1.31799,1.00151,1.20078,0.35075,0.547541,0.677293,0.825334,3.18966,0.921841,1.1587,1.92562,1.175,0.879843,1.17055,3.16011,1.07402,0.957524,1.36714,0.539243,0.595463,0.467097,0.394667,0.674298,0.924526,1.18077
2,5.80941,4.69227,3.42363,1.47337,0.904152,0.846759,0.672948,0.304689,4.661,1.78386,4.02852,5.54,0.770599,0.341824,0.897358,0.550026,3.02855,1.50064,2.52567,2.30297,3.28521,0.949093,0.601416,1.17696,0.807362,2.13332,2.35731,1.11907,1.52796,0.705038,0.585691,0.913531,0.758984,0.89282,0.413694,0.671317,0.56252,1.42331,1.40553,0.733223,1.39621,1.12626,1.13019,1.10635,1.25922,1.27761,0.540619,1.11825,0.791697,1.11524,1.50002,1.11894,0.729094,1.03059,0.669764,0.666219,1.00262,1.1735,2.26094,2.30847,1.75938,1.4171,1.39286,0.8812,1.69359,0.736199,1.07634,3.59334,2.0338,1.06578,1.86742,1.64679,3.76979,0.974685,1.02156,1.64993,2.85994,1.65145,2.49853,0.525034,7.33908,1.10131,0.734319,1.10966,2.47438,1.44887,0.510049,0.327214,1.75834,0.642063,0.504187,0.658211,0.829514,0.772584,2.15143,2.00033,0.431156,0.611018,0.603289,0.713135,0.281964,1.04252,1.24175,0.721538
3,1.74325,5.22943,3.85578,5.26319,2.39967,1.33159,0.997745,2.6999,2.54912,2.61841,3.669,2.24078,3.1681,2.61069,1.12427,1.54738,1.74926,2.6371,1.85817,1.92431,2.41336,5.02586,2.97045,2.80168,1.24318,1.6471,2.81279,2.53383,2.99239,3.4844,2.04313,3.16905,1.11092,2.29032,3.20713,2.96097,7.55887,4.71905,5.46958,5.22819,2.43238,1.27793,4.78784,5.64638,6.85884,9.76661,6.3599,4.61477,1.55324,1.86391,3.20163,4.55651,5.54413,6.52533,6.56821,3.77911,1.51299,1.82793,1.87628,2.5738,3.72902,2.70435,2.49923,2.72876,1.43687,2.23982,2.80841,2.62643,1.93511,1.70742,3.13565,2.55887,2.09554,2.38011,1.48634,1.9162,1.23032,1.00003,3.38393,1.95684,1.34781,2.52527,1.1326,1.49874,1.417,1.24027,1.69136,0.861764,0.699866,0.726684,0.795141,1.14376,0.933995,1.13679,0.950064,1.13876,1.1547,0.918421,1.04542,1.1534,0.67342,0.756136,0.746986,0.364116
4,0.065049,0.566223,4.18127,1.78845,1.48583,0.610004,2.70366,3.78743,0.109672,0.326607,3.16464,1.77258,1.1963,0.788573,5.21732,2.60323,0.114265,0.349831,1.17554,0.530015,1.18516,1.89862,2.89346,1.78661,0.292308,0.598342,0.675718,0.793252,2.35879,2.73464,1.26859,1.89584,0.265742,0.556413,0.987972,0.403454,2.32703,0.516925,1.71453,2.36469,0.800602,0.350976,0.234986,1.56084,6.5962,3.02029,3.23329,2.68839,2.20288,0.934068,0.486372,3.78525,5.56069,2.39627,4.02398,6.23745,0.89061,0.917389,2.13132,2.23489,1.02791,3.51197,2.93401,2.72919,1.05869,1.72722,1.65689,2.86157,1.03056,1.11003,1.61296,2.23453,1.13659,1.77362,2.74479,1.38787,1.2556,1.71801,1.50439,2.89722,0.730202,1.84953,0.384397,0.272014,1.6178,1.70063,3.96124,1.84491,0.354701,0.235216,0.573145,0.987109,1.08204,1.89225,0.876034,1.3751,0.777169,0.332645,0.317604,0.309092,0.619557,0.658372,0.890522,1.65177
5,3.96713,3.91528,3.29118,6.91838,5.40892,1.64892,0.996136,1.44119,2.20285,6.03604,3.59082,5.26464,4.0649,2.3206,0.898283,2.23617,1.1421,1.1339,0.755614,1.96349,4.04095,1.46635,3.51519,1.22048,1.58815,0.78078,1.25769,1.33926,4.5,4.30231,0.683734,1.03998,0.848195,1.08569,2.42182,1.48389,2.63647,4.20255,1.60246,0.834463,0.587178,0.865986,4.00368,2.52035,4.90565,2.70991,1.6252,1.21263,1.52099,3.38595,3.83065,3.58329,3.49461,1.77008,1.41939,1.80062,1.73165,2.30053,0.770501,2.19746,6.87359,1.67106,2.50448,1.00998,0.789683,1.71791,1.18105,1.4434,4.78703,11.2968,3.63775,2.02824,1.43995,0.591402,0.446624,1.26501,2.4267,6.13976,2.43779,2.94078,1.57296,0.441107,1.35773,2.84383,0.746096,1.15988,0.816284,1.05333,2.17184,0.764288,1.11607,1.42297,0.535355,0.675024,0.622768,0.54143,1.62951,1.90169,1.14421,0.411296,0.195587,0.405172,0.563124,0.241406
6,1.206,1.322,0.093642,0.249596,0.467877,0.888343,1.87988,1.67222,2.07405,1.50723,0.366217,0.937112,1.21191,1.41442,1.22704,0.906758,1.23116,4.60035,1.37562,0.948269,0.735684,0.520425,0.713445,0.866528,1.98982,5.99568,0.992912,1.7843,1.449,0.568542,0.429657,0.891751,1.60432,1.60099,1.06038,1.65228,1.32418,1.18849,0.896861,2.01151,2.01798,0.561975,0.350817,0.588608,2.05515,2.46222,1.16737,1.86345,1.57522,0.579451,2.01231,1.03347,2.14033,4.002,2.09549,1.41756,2.5562,1.39006,2.71457,1.79895,3.96877,2.32969,2.03053,1.12393,5.45011,1.77863,1.3902,4.11068,2.00707,2.46244,1.33966,1.68057,3.5024,1.36035,1.79177,2.72604,2.09591,1.96634,0.677545,1.37055,0.805628,0.383873,0.962712,1.67649,1.18631,1.83812,1.06608,0.408834,0.405156,0.281664,0.468538,1.87673,1.9081,1.46164,0.973146,0.459616,0.425921,0.256551,0.979187,2.77183,1.70799,0.862847,0.422814,0.409584
7,1.20899,1.10158,0.383562,0.693621,0.882382,1.63436,1.87309,1.91831,0.765112,0.589701,0.895397,1.37622,1.48668,0.743071,1.09211,1.89398,0.37702,2.93995,2.14202,1.19776,1.74493,1.29507,1.15437,0.977722,1.33948,2.82211,1.37117,0.724643,1.90351,2.19491,0.71853,0.713892,1.75491,0.315755,0.839583,1.26934,2.98399,2.03769,2.87876,0.904356,1.24177,0.407892,1.23799,3.17084,6.656,3.78843,1.98061,5.05021,1.22339,1.27101,4.35191,3.64714,6.10529,4.66318,1.3666,3.27697,0.585425,1.01731,0.713702,4.31056,2.94517,2.49617,2.78131,4.45649,1.24788,1.28201,1.07103,1.20359,3.04456,1.97284,1.91576,3.51747,1.05295,1.13756,1.12367,3.2568,1.11622,2.25363,2.2337,2.31579,0.479672,1.13956,3.80424,1.09258,1.84213,1.41898,2.50474,1.34917,0.385263,0.325619,0.708296,0.871369,0.922149,1.80207,1.79148,2.43223,0.380658,0.197597,0.360544,0.750657,0.312328,1.0089,1.16642,1.17567
8,0.416057,0.459299,0.356112,0.42629,1.44434,0.540799,0.50517,1.15007,1.16293,0.521833,0.222853,0.950907,1.97049,1.90267,1.08329,1.28225,0.773712,0.701453,0.352712,0.553604,1.27568,2.84782,2.01676,0.723245,0.314273,0.660609,1.72179,2.14068,2.15291,1.62307,2.01748,0.988557,0.2537,0.668057,2.34816,1.86689,1.9705,2.21949,0.875783,1.09624,0.560352,0.682895,0.455855,2.00012,3.43008,3.10664,0.308207,0.240791,0.61651,0.773526,1.2042,4.28388,3.2163,1.16253,0.460845,0.3998,0.265442,0.364826,1.28271,2.71729,1.83374,1.09651,0.494036,1.01486,0.263374,0.311305,1.60018,11.801,7.61346,1.39243,1.14725,0.862793,0.433294,0.44119,2.35515,5.08862,1.96515,2.84418,3.00418,2.20437,0.677181,0.897782,2.2499,1.01562,1.7299,4.27169,2.25082,0.780774,1.49159,0.703701,0.860181,0.801483,0.987104,1.1119,0.874138,0.4539,0.286791,0.665465,0.695972,1.59549,0.492795,0.274613,0.187705,0.479328
9,0.428628,4.09442,2.33288,0.851901,0.417606,0.151098,0.314292,0.519419,0.576589,1.03807,1.54223,2.72988,0.832278,0.403308,0.140027,0.383069,3.42529,1.29379,1.82171,1.72821,0.532073,0.493855,0.40121,0.506229,1.57656,2.06313,1.83664,1.23878,0.46857,0.874041,2.93522,1.42248,1.37733,1.1833,4.00378,3.0389,1.67984,0.685005,1.01111,1.30922,1.92684,1.8892,1.5598,1.9831,2.62722,1.20635,0.881224,1.07836,0.846397,1.05697,1.17506,3.09539,2.99401,1.14044,2.50735,0.774403,0.968894,1.87981,3.06993,2.54981,1.59059,0.497811,0.5883,0.822671,1.07621,1.6862,1.35367,1.5316,2.75043,2.61269,2.48517,0.877871,1.19,1.8725,1.90386,0.531973,1.32897,1.08068,1.3163,0.734173,0.641193,1.68856,2.92556,1.63079,0.728546,1.12283,1.83397,0.650229,0.758596,0.838388,0.440206,0.741514,0.454499,1.9911,1.59652,1.87562,0.534382,1.0387,0.578744,1.26498,0.590394,0.919918,0.991827,0.587575
