pointid   X                      Y                      layer_kx_multiplier         vertical_anisotropy       recharge
1         987998.226357765       120505.043349591            1.0000000E+00              1.0000000E+01            3.7498001E-03
2         988277.504086859       122288.124235349            1.0000000E+00              1.0000000E+01            3.7498001E-03
3         987590.051215242       123469.683858442            1.0000000E+00              1.0000000E+01            3.7498001E-03
4         987181.876072719       122223.675528635            1.0000000E+00              1.0000000E+01            3.7498001E-03
5         986580.354810053       121729.56877716             1.0000000E+00              1.0000000E+01            3.7498001E-03
6         985785.487427245       122717.78228011             1.0000000E+00              1.0000000E+01            3.7498001E-03
7         986279.59417872        124135.653827822            1.0000000E+00              1.0000000E+01            3.7498001E-03
8         986129.213863054       123469.683858442            1.0000000E+00              1.0000000E+01            3.7498001E-03
9         986924.081245862       122868.162595776            1.0000000E+00              1.0000000E+01            3.7498001E-03
10        984711.342315343       123491.16676068             1.0000000E+00              1.0000000E+01            3.7498001E-03
11        984625.41070639        124414.931556916            1.0000000E+00              1.0000000E+01            3.7498001E-03
12        985205.449066818       125617.974082247            1.0000000E+00              1.0000000E+01            3.7498001E-03
13        985806.970329483       126563.221780721            1.0000000E+00              1.0000000E+01            3.7498001E-03
14        985055.068751151       127895.161719481            1.0000000E+00              1.0000000E+01            3.7498001E-03
15        985678.072916055       129871.588725381            1.0000000E+00              1.0000000E+01            3.7498001E-03
16        984367.615879534       129055.238440335            1.0000000E+00              1.0000000E+01            3.7498001E-03
17        982928.261429584       128346.30266648             1.0000000E+00              1.0000000E+01            3.7498001E-03
18        983830.543323583       126821.016607578            1.0000000E+00              1.0000000E+01            3.7498001E-03
19        984797.273924295       126369.875660579            1.0000000E+00              1.0000000E+01            3.7498001E-03
20        982928.261429584       125338.696353152            1.0000000E+00              1.0000000E+01            3.7498001E-03
21        982906.778527346       126692.11919415             1.0000000E+00              1.0000000E+01            3.7498001E-03
22        981145.180543826       128024.059132909            1.0000000E+00              1.0000000E+01            3.7498001E-03
23        982906.778527346       124565.311872583            1.0000000E+00              1.0000000E+01            3.7498001E-03
24        981145.180543826       124200.102534536            1.0000000E+00              1.0000000E+01            3.7498001E-03
25        980457.727672208       123276.337738299            1.0000000E+00              1.0000000E+01            3.7498001E-03
26        981811.150513206       125875.768909104            1.0000000E+00              1.0000000E+01            3.7498001E-03
27        980651.073792351       126649.153389674            1.0000000E+00              1.0000000E+01            3.7498001E-03
28        979233.202244639       126735.084998626            1.0000000E+00              1.0000000E+01            3.7498001E-03
29        979082.821928973       125252.7647442              1.0000000E+00              1.0000000E+01            3.7498001E-03
30        980307.347356542       125510.559571057            1.0000000E+00              1.0000000E+01            3.7498001E-03
31        978502.783568545       123469.683858442            1.0000000E+00              1.0000000E+01            3.7498001E-03
32        977772.364892452       124715.692188249            1.0000000E+00              1.0000000E+01            3.7498001E-03
33        977557.535870071       122352.572942063            1.0000000E+00              1.0000000E+01            3.7498001E-03
34        975731.489179837       123362.269347252            1.0000000E+00              1.0000000E+01            3.7498001E-03
35        977256.775238739       123899.341903203            1.0000000E+00              1.0000000E+01            3.7498001E-03
36        977063.429118596       125553.525375533            1.0000000E+00              1.0000000E+01            3.7498001E-03
37        977664.950381262       127014.36272772             1.0000000E+00              1.0000000E+01            3.7498001E-03
38        977965.711012594       128324.819764242            1.0000000E+00              1.0000000E+01            3.7498001E-03
39        978867.992906592       129420.447778382            1.0000000E+00              1.0000000E+01            3.7498001E-03
40        976977.497509644       129613.793898525            1.0000000E+00              1.0000000E+01            3.7498001E-03
41        975280.348232838       129570.828094049            1.0000000E+00              1.0000000E+01            3.7498001E-03
42        974657.344067934       127787.74720829             1.0000000E+00              1.0000000E+01            3.7498001E-03
43        976118.181420122       128281.853959766            1.0000000E+00              1.0000000E+01            3.7498001E-03
44        976762.668487263       126863.982412054            1.0000000E+00              1.0000000E+01            3.7498001E-03
45        974528.446654506       125510.559571057            1.0000000E+00              1.0000000E+01            3.7498001E-03
46        976010.766908932       125575.008277771            1.0000000E+00              1.0000000E+01            3.7498001E-03
47        974635.861165696       124264.55124125             1.0000000E+00              1.0000000E+01            3.7498001E-03
48        973454.301542603       124629.760579297            1.0000000E+00              1.0000000E+01            3.7498001E-03
49        976118.181420122       124414.931556916            1.0000000E+00              1.0000000E+01            3.7498001E-03
50        974721.792774648       122911.128400253            1.0000000E+00              1.0000000E+01            3.7498001E-03
51        988879.025349525       122846.679693538            1.0000000E+00              1.0000000E+01            3.7498001E-03
52        978073.125523785       125489.076668819            1.0000000E+00              1.0000000E+01            3.7498001E-03
