pointid    X                       Y                  reach       cond_mult              head_add
1         973137.979748462       124851.208406848       1            1.0000000E+00          0.0000000E+00
2         973902.866665724       124901.529914562       1            1.0000000E+00          0.0000000E+00
3         974627.496376814       125133.008850049       1            1.0000000E+00          0.0000000E+00
4         975191.097263218       125434.937896337       1            1.0000000E+00          0.0000000E+00
5         973611.001920979       125263.844770107       2            1.0000000E+00          0.0000000E+00
6         974436.274647499       125354.423483994       2            1.0000000E+00          0.0000000E+00
7         975140.775755503       125414.809293251       2            1.0000000E+00          0.0000000E+00
8         975704.376641907       125907.960068854       1            1.0000000E+00          0.0000000E+00
9         975996.241386651       126521.882462972       1            1.0000000E+00          0.0000000E+00
10        976459.199257626       126219.953416685       1            1.0000000E+00          0.0000000E+00
11        977214.021873345       126240.08201977        1            1.0000000E+00          0.0000000E+00
12        977284.471984145       126572.203970687       1            1.0000000E+00          0.0000000E+00
13        977747.429855119       126763.425700002       1            1.0000000E+00          0.0000000E+00
14        978170.130519922       126773.490001545       1            1.0000000E+00          0.0000000E+00
15        978109.744710664       126360.853638285       1            1.0000000E+00          0.0000000E+00
16        978381.480852323       125918.024370397       1            1.0000000E+00          0.0000000E+00
17        979146.367769585       126119.310401255       1            1.0000000E+00          0.0000000E+00
18        980001.833400733       126330.660733657       1            1.0000000E+00          0.0000000E+00
19        980736.527413366       126250.146321313       1            1.0000000E+00          0.0000000E+00
20        981279.999696684       126360.853638285       1            1.0000000E+00          0.0000000E+00
21        981732.893266115       126491.689558343       1            1.0000000E+00          0.0000000E+00
22        981964.372201603       126179.696210513       1            1.0000000E+00          0.0000000E+00
23        981853.66488463        125767.059847253       1            1.0000000E+00          0.0000000E+00
24        981712.76466303        125455.066499423       1            1.0000000E+00          0.0000000E+00
25        982135.465327832       125133.008850049       1            1.0000000E+00          0.0000000E+00
26        982397.137167948       125263.844770107       1            1.0000000E+00          0.0000000E+00
27        982527.973088006       124921.658517648       1            1.0000000E+00          0.0000000E+00
28        982487.715881834       124478.82924976        1            1.0000000E+00          0.0000000E+00
29        982638.680404978       124619.72947136        1            1.0000000E+00          0.0000000E+00
30        982759.452023493       124740.501089875       1            1.0000000E+00          0.0000000E+00
31        982900.352245094       124831.079803762       1            1.0000000E+00          0.0000000E+00
32        982457.522977206       124740.501089875       1            1.0000000E+00          0.0000000E+00
33        983272.731402182       124851.208406848       1            1.0000000E+00          0.0000000E+00
34        983685.367765442       124488.893551302       1            1.0000000E+00          0.0000000E+00
35        983675.303463899       124025.935680328       1            1.0000000E+00          0.0000000E+00
36        984259.032953388       123874.971157184       1            1.0000000E+00          0.0000000E+00
37        984913.212553678       123693.813729412       1            1.0000000E+00          0.0000000E+00
38        985738.485280197       123824.64964947        1            1.0000000E+00          0.0000000E+00
39        986372.536277401       123613.299317068       1            1.0000000E+00          0.0000000E+00
40        986936.137163805       123512.656301639       1            1.0000000E+00          0.0000000E+00
41        987197.809003921       122989.312621408       1            1.0000000E+00          0.0000000E+00
42        987278.323416264       122808.155193635       1            1.0000000E+00          0.0000000E+00
43        987419.223637865       122556.547655062       1            1.0000000E+00          0.0000000E+00
44        987600.381065637       122697.447876663       1            1.0000000E+00          0.0000000E+00
45        987761.409890324       123079.891335294       1            1.0000000E+00          0.0000000E+00
46        988184.110555127       123039.634129122       1            1.0000000E+00          0.0000000E+00
47        988425.653792157       122808.155193635       1            1.0000000E+00          0.0000000E+00
48        988596.746918386       122445.84033809        1            1.0000000E+00          0.0000000E+00
49        988898.675964674       122717.576479749       1            1.0000000E+00          0.0000000E+00
50        988667.197029187       121459.538786884       1            1.0000000E+00          0.0000000E+00
51        988747.71144153        121982.882467116       1            1.0000000E+00          0.0000000E+00
52        974808.653804587       126632.589779944       3            1.0000000E+00          0.0000000E+00
53        975452.769103334       126954.647429318       3            1.0000000E+00          0.0000000E+00
54        976177.398814424       127045.226143204       3            1.0000000E+00          0.0000000E+00
55        976479.327860712       126471.560955258       3            1.0000000E+00          0.0000000E+00
56        976871.835620885       126109.246099712       3            1.0000000E+00          0.0000000E+00
57        977103.314556373       124841.144105305       4            1.0000000E+00          0.0000000E+00
58        977636.722538147       124971.980025363       4            1.0000000E+00          0.0000000E+00
59        977676.979744319       125203.45896085        4            1.0000000E+00          0.0000000E+00
60        977999.037393692       125233.651865479       4            1.0000000E+00          0.0000000E+00
61        978371.41655078        125525.516610223       4            1.0000000E+00          0.0000000E+00
62        978361.352249237       125897.895767311       4            1.0000000E+00          0.0000000E+00
63        975020.004136988       122757.83368592        5            1.0000000E+00          0.0000000E+00
64        975654.055134192       123331.498873867       5            1.0000000E+00          0.0000000E+00
65        976117.013005166       123210.727255352       5            1.0000000E+00          0.0000000E+00
66        976620.228082313       122767.897987463       5            1.0000000E+00          0.0000000E+00
67        977183.828968716       122637.062067405       5            1.0000000E+00          0.0000000E+00
68        977767.558458205       123110.084239923       5            1.0000000E+00          0.0000000E+00
69        978341.223646152       123522.720603182       5            1.0000000E+00          0.0000000E+00
70        979226.882181929       123965.549871071       5            1.0000000E+00          0.0000000E+00
71        979901.190385304       124096.385791129       5            1.0000000E+00          0.0000000E+00
72        980243.376637763       124810.951200676       5            1.0000000E+00          0.0000000E+00
73        980897.556238053       124790.82259759        5            1.0000000E+00          0.0000000E+00
74        981511.478632171       124921.658517648       5            1.0000000E+00          0.0000000E+00
75        981692.636059944       125052.494437706       5            1.0000000E+00          0.0000000E+00
76        981823.471980002       125102.815945421       5            1.0000000E+00          0.0000000E+00
77        981833.536281545       124841.144105305       5            1.0000000E+00          0.0000000E+00
78        981863.729186173       124559.343662103       5            1.0000000E+00          0.0000000E+00
79        982215.979740176       124468.764948217       5            1.0000000E+00          0.0000000E+00
80        982487.715881834       124539.215059017       5            1.0000000E+00          0.0000000E+00
81        983484.081734583       125988.474481197       6            1.0000000E+00          0.0000000E+00
82        984057.74692253        125787.188450339       6            1.0000000E+00          0.0000000E+00
83        984188.582842588       125434.937896337       6            1.0000000E+00          0.0000000E+00
84        984168.454239502       125022.301533077       6            1.0000000E+00          0.0000000E+00
85        983967.168208644       125052.494437706       6            1.0000000E+00          0.0000000E+00
86        983886.6537963         125304.101976279       6            1.0000000E+00          0.0000000E+00
87        983675.303463899       125354.423483994       6            1.0000000E+00          0.0000000E+00
88        983514.274639212       125163.201754678       6            1.0000000E+00          0.0000000E+00
89        983443.824528412       124780.758296047       6            1.0000000E+00          0.0000000E+00
90        986332.27907123        126703.039890745       7            1.0000000E+00          0.0000000E+00
91        985738.485280197       126230.017718228       7            1.0000000E+00          0.0000000E+00
92        985919.64270797        125686.54543491        7            1.0000000E+00          0.0000000E+00
93        985718.356677112       125112.880246963       7            1.0000000E+00          0.0000000E+00
94        985376.170424652       124690.179582161       7            1.0000000E+00          0.0000000E+00
95        985164.820092251       124207.093108101       7            1.0000000E+00          0.0000000E+00
96        985064.177076822       123985.678474157       7            1.0000000E+00          0.0000000E+00
97        985295.656012309       123895.09976027        7            1.0000000E+00          0.0000000E+00
98        985758.613883283       123874.971157184       7            1.0000000E+00          0.0000000E+00
99        975533.283515677       129601.558735106       8            1.0000000E+00          0.0000000E+00
100       975794.955355793       128987.636340987       8            1.0000000E+00          0.0000000E+00
101       976106.948703623       128816.543214758       8            1.0000000E+00          0.0000000E+00
102       976439.07065454        129048.022150245       8            1.0000000E+00          0.0000000E+00
103       976690.678193113       128927.25053173        8            1.0000000E+00          0.0000000E+00
104       976902.028525514       128645.450088528       8            1.0000000E+00          0.0000000E+00
105       977224.086174888       128383.778248412       8            1.0000000E+00          0.0000000E+00
106       977415.307904203       128263.006629897       8            1.0000000E+00          0.0000000E+00
107       977334.79349186        127951.013282067       8            1.0000000E+00          0.0000000E+00
108       977435.436507289       127568.569823436       8            1.0000000E+00          0.0000000E+00
109       977908.458679806       127306.89798332        8            1.0000000E+00          0.0000000E+00
110       978431.802360038       127216.319269434       8            1.0000000E+00          0.0000000E+00
111       978612.95978781        127256.576475605       8            1.0000000E+00          0.0000000E+00
112       978633.088390896       127065.35474629        8            1.0000000E+00          0.0000000E+00
113       978582.766883182       126662.782684573       8            1.0000000E+00          0.0000000E+00
114       978914.888834098       126531.946764515       8            1.0000000E+00          0.0000000E+00
115       979257.075086557       126461.496653715       8            1.0000000E+00          0.0000000E+00
116       979428.168212787       126632.589779944       8            1.0000000E+00          0.0000000E+00
117       979649.582846731       126582.26827223        8            1.0000000E+00          0.0000000E+00
118       979971.640496104       126340.7250352         8            1.0000000E+00          0.0000000E+00
119       977616.593935061       130114.838113794       9            1.0000000E+00          0.0000000E+00
120       977616.593935061       129410.33700579        9            1.0000000E+00          0.0000000E+00
121       977505.886618089       129148.665165674       9            1.0000000E+00          0.0000000E+00
122       977073.121651744       129017.829245616       9            1.0000000E+00          0.0000000E+00
123       976942.285731686       128625.321485442       9            1.0000000E+00          0.0000000E+00
124       981098.842268912       128142.235011382       10           1.0000000E+00          0.0000000E+00
125       981129.03517354        127276.705078691       10           1.0000000E+00          0.0000000E+00
126       981672.507456858       126803.682906174       10           1.0000000E+00          0.0000000E+00
127       985869.321200255       130054.452304537       11           1.0000000E+00          0.0000000E+00
128       985748.54958174        129329.822593447       11           1.0000000E+00          0.0000000E+00
129       985386.234726195       128776.286008586       11           1.0000000E+00          0.0000000E+00
130       985124.562886079       128182.492217554       11           1.0000000E+00          0.0000000E+00
131       984742.119427448       127800.048758923       11           1.0000000E+00          0.0000000E+00
132       983936.975304015       127779.920155837       11           1.0000000E+00          0.0000000E+00
133       983484.081734583       127890.627472809       11           1.0000000E+00          0.0000000E+00
134       982980.866657437       127810.113060466       11           1.0000000E+00          0.0000000E+00
135       982467.587278749       127649.084235779       11           1.0000000E+00          0.0000000E+00
136       982226.044041718       127236.447872519       11           1.0000000E+00          0.0000000E+00
137       981944.243598517       126914.390223146       11           1.0000000E+00          0.0000000E+00
138       981702.700361487       126542.011066058       11           1.0000000E+00          0.0000000E+00
139       984530.769095047       129551.237227391       12           1.0000000E+00          0.0000000E+00
140       984671.669316648       128886.993325558       12           1.0000000E+00          0.0000000E+00
141       984742.119427448       128303.263836069       12           1.0000000E+00          0.0000000E+00
142       984440.190381161       128071.784900582       12           1.0000000E+00          0.0000000E+00
143       983936.975304015       127800.048758923       12           1.0000000E+00          0.0000000E+00
144       983494.146036126       128786.350310129       13           1.0000000E+00          0.0000000E+00
145       983423.695925326       127951.013282067       13           1.0000000E+00          0.0000000E+00
146       982044.886613946       128252.942328354       14           1.0000000E+00          0.0000000E+00
147       982256.236946347       127488.055411092       14           1.0000000E+00          0.0000000E+00
