94               4      86835   0.8628986          86515   0.1330451          86514   5.4186344E-04      86834   3.5143966E-03
95               4      86133   0.9564283          86453   3.8827972E-02      86454   1.8506772E-04      86134   4.5586723E-03
98               4      96344   0.3824035          96343   0.3337834          96663   0.1322728          96664   0.1515402    
1                4     174028   0.3891376         174029   0.1466755         173709   0.1270683         173708   0.3371187    
104              4     158428   0.7105213         158429   0.2688917         158109   5.6520210E-03     158108   1.4934939E-02
126              4     169875   0.3737025         170195   0.3593537         170196   0.1308593         169876   0.1360844    
128              4     161069   0.4273665         160749   0.1247773         160748   0.1012097         161068   0.3466466    
129              4     170838   0.8574434         170518   5.5300368E-02     170517   5.2865915E-03     170837   8.1969668E-02
130              4     169552   0.5220986         169872   1.5157632E-02     169873   1.3055408E-02     169553   0.4496883    
131              4     171478   0.5453681         171158   5.1175674E-02     171157   3.4611286E-02     171477   0.3688450    
132              4     169558   0.4639933         169238   9.3950450E-02     169237   7.4436510E-02     169557   0.3676198    
133              4     168595   0.5633281         168594   5.4258881E-02     168914   3.3597379E-02     168915   0.3488157    
134              4     168920   0.7020610         168919   0.1247260         169239   2.6130271E-02     169240   0.1470828    
135              4     170840   0.6604985         170839   8.3688482E-02     171159   2.8767778E-02     171160   0.2270453    
136              4     171160   0.5521092         171159   0.2046778         171479   6.5778489E-02     171480   0.1774346    
154              4     162951   0.5216429         162631   9.1900852E-02     162630   5.7886108E-02     162950   0.3285702    
164              4     161395   0.4723798         161396   0.4088333         161076   5.5110466E-02     161075   6.3676494E-02
165              4     160433   0.4648586         160432   0.1033284         160752   7.8527904E-02     160753   0.3532851    
188              4     153335   0.8412776         153655   2.3178700E-02     153656   3.6343397E-03     153336   0.1319094    
194              4     155570   0.6504014         155569   5.5985589E-02     155889   2.3270671E-02     155890   0.2703424    
195              4     150473   0.6006887         150472   0.1970983         150792   4.9957997E-02     150793   0.1522550    
196              4     150469   0.4575951         150149   0.3457487         150148   8.4638290E-02     150468   0.1120180    
2                4     171152   0.6487032         170832   2.3240491E-02     170831   1.1346469E-02     171151   0.3167098    
202              4     154951   0.4577781         154950   0.4176088         155270   5.9447431E-02     155271   6.5165609E-02
208              4     145979   0.7011491         145659   0.1511947         145658   2.6192295E-02     145978   0.1214640    
209              4     171234   0.8619574         171235   3.0655670E-02     170915   3.6880698E-03     170914   0.1036989    
